編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1030715-01,金寧鄉,清潔隊,犬,Mix,中,白灰,母,07.15-07.26,900042000377550,
1030715-02,金寧鄉,清潔隊,犬,Mix,中,白棕,公,07.15-07.26,無,
1030715-03,金寧鄉,清潔隊,犬,Mix,中,紅棕,母,07.15-07.26,158098005873071,
1030715-04,金寧鄉,清潔隊,犬,Mix,中,白,公,07.15-07.26,無,
1030715-05,金寧鄉,清潔隊,犬,Mix,中,紅棕,母,07.15-07.26,無,
1030715-06,金寧鄉,清潔隊,犬,Mix,中,白黃,母,07.15-07.26,158097005871155,
1030715-07,金寧鄉,清潔隊,犬,Mix,中,白黑,母,07.15-07.26,900042000340943,
1030715-08,金寧鄉,清潔隊,犬,Mix,中,紅棕,母,07.15-07.26,無,
1030715-09,金城鎮,清潔隊,犬,Mix,大,黑,公,07.15-07.26,無,
1030715-10,金城鎮,清潔隊,犬,Mix,中,黑,母,07.15-07.26,無,
