"動物編號","收容日期","收容園區","收容原因","來源區域","性別","來源地點","毛色毛長","晶片號碼","動物種類","犬牌編號","其他特徵","照片"
"10406026013","2015-06-02","后里園區","飼主不擬續養","南屯區","母","自行送交","黑虎斑","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56216113871.JPG"
"10406026012","2015-06-02","后里園區","陳情","清水區","母","鎮南街","黃色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56215582871.JPG"
"10406026011","2015-06-02","后里園區","陳情","外埔區","公","新厝路","黑色","","混種犬","","灰紫色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/5621684171.JPG"
"10406026010","2015-06-02","后里園區","陳情","清水區","公","大街路","黑米","","混種犬","","紅色項圈","http://www.animal.taichung.gov.tw/public/Data/119020/5621202171.JPG"
"10406026009","2015-06-02","后里園區","陳情","大安區","母","中山南路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56211585971.JPG"
"10406026008","2015-06-02","后里園區","陳情","外埔區","公","長生路","黃色","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56211572671.JPG"
"10406026007","2015-06-02","后里園區","陳情","清水區","母","中山路","黑黃","","似狼犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621156871.JPG"
"10406026006","2015-06-02","后里園區","陳情","豐原區","母","朴子街","黑米","","混種犬","","鐵鍊","http://www.animal.taichung.gov.tw/public/Data/119020/56211303071.JPG"
"10406026005","2015-06-02","后里園區","陳情","大雅區","公","中清路","黑色","","混種犬","","白胸","http://www.animal.taichung.gov.tw/public/Data/119020/56211291471.JPG"
"10406026004","2015-06-02","后里園區","陳情","神岡區","母","厚生路","虎斑","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56210514971.JPG"
"10406026003","2015-06-02","后里園區","陳情","大雅區","母","昌平路","黑色","","混種犬","","紅黑項圈","http://www.animal.taichung.gov.tw/public/Data/119020/5621050771.JPG"
"10406026002","2015-06-02","后里園區","陳情","大安區","母","東西五路","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56210475171.JPG"
"10406026001","2015-06-02","后里園區","急難救助","清水區","公","五權東路","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56210464371.JPG"
"10406020019","2015-06-02","南屯園區","民眾拾獲","龍井區","","沙田路","粉紅黑","","似麝香豬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621731871.JPG"
"10406020018","2015-06-02","南屯園區","飼主不擬續養 ","北屯區","母","松竹路3段與梅川東路五段","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621705671.JPG"
"10406020017","2015-06-02","南屯園區","飼主不擬續養 ","龍井區","公","自行送交","白色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56216565471.png"
"10406020016","2015-06-02","南屯園區","飼主不擬續養 ","西區","母","自行送交","黃白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56216554671.JPG"
"10406020015","2015-06-02","南屯園區","飼主不擬續養 ","西區","母","自行送交","黑白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56216545871.JPG"
"10406020014","2015-06-02","南屯園區","陳情","龍井區","公","沙田路6段","黑色","","混種犬","","綠項圈","http://www.animal.taichung.gov.tw/public/Data/119020/56216534271.JPG"
"10406020013","2015-06-02","南屯園區","陳情","大里區","母","國中路","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56215471071.JPG"
"10406020012","2015-06-02","南屯園區","急難救助","北區","母","五順路","三花","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56215462071.JPG"
"10406020011","2015-06-02","南屯園區","陳情","北屯區","母","北坑巷","黑白","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621463171.JPG"
"10406020010","2015-06-02","南屯園區","陳情","北屯區","公","東山路一段","黃白","","混種犬","","黑項圈","http://www.animal.taichung.gov.tw/public/Data/119020/5621444971.JPG"
"10406020009","2015-06-02","南屯園區","陳情","北屯區","公","東山路一段","米色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/s_56213591471.JPG"
"10406020008","2015-06-02","南屯園區","飼主不擬續養","北屯區","公","自行送交","黑棕","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621248171.jpg"
"10406020007","2015-06-02","南屯園區","飼主不擬續養","北屯區","母","自行送交","黑白","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56212474671.png"
"10406020006","2015-06-02","南屯園區","陳情","龍井區","母","中央路2段","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56212443271.JPG"
"10406020005","2015-06-02","南屯園區","陳情","霧峰區","公","吉峰東路","虎斑","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/562120571.JPG"
"10406020004","2015-06-02","南屯園區","民眾拾獲","沙鹿區","母","靜宜宿舍停車場旁","虎斑","","貓","","","http://www.animal.taichung.gov.tw/public/Data/119020/56210545771.JPG"
"10406020003","2015-06-02","南屯園區","陳情","龍井區","母","瑞井派出所","黑色","","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/5621053971.JPG"
"10406020002","2015-06-02","南屯園區","陳情","南屯區","公","黎明路2段","黑白","*057*125","混種犬","","","http://www.animal.taichung.gov.tw/public/Data/119020/56210513571.JPG"
