編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040105-01,金沙鎮,清潔隊,犬,Mix,成犬,黑白,公,01.06-01.17,無,
1040105-C1,金湖鎮,清潔隊,犬,Mix,成貓,褐虎斑,母,01.06-01.17,無,
1040105-C2,金湖鎮,清潔隊,犬,Mix,成貓,褐虎斑,母,01.06-01.17,無,
1040105-C3,金湖鎮,清潔隊,犬,Mix,成貓,白花,母,01.06-01.17,無,
1040105-C4,金湖鎮,清潔隊,犬,Mix,成貓,虎班白,母,01.06-01.17,無,
1040106-01,金城鎮,清潔隊,犬,Mix,成犬,黑,公,01.06-01.17,無,精神不濟
1040106-C1,金湖鎮,清潔隊,犬,Mix,成貓,褐黃虎斑,公,01.06-01.17,無,
1040106-C2,金城鎮,清潔隊,犬,Mix,成貓,虎班白,公,01.06-01.17,無,
1040106-C3,金城鎮,清潔隊,犬,Mix,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C4,金城鎮,清潔隊,犬,Mix,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C5,金城鎮,清潔隊,犬,Mix,成貓,褐虎斑,公,01.06-01.17,無,
1040106-C6,金城鎮,清潔隊,犬,Mix,成貓,銀灰虎斑,母,01.06-01.17,無,
