編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1030603-01,金城鎮,清潔隊,犬,Mix,中,黃,母,06.05-06.16,無,
1030603-02,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030603-03,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030603-04,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030603-05,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030603-06,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030603-07,金湖鎮,清潔隊,犬,Mix,幼犬,黑,母,06.05-06.16,無,
1030604-01,金沙鎮,清潔隊,犬,Mix,幼犬,黃,公,06.05-06.16,無,
1030604-02,烈嶼鄉,清潔隊,犬,Mix,中（幼）,米白,公,06.05-06.16,無,
1030604-03,金湖鎮,清潔隊,犬,Mix,中（幼）,黑黃,公,06.05-06.16,無,
