animal_opendate,animal_found_place,animal_pedigree,animal_sex,animal_bodytype,animal_colour,animal_chip_number,animal_entry_reason
民國104年4月13日,張雨生紀念館,混種犬,公,中,黃,,21
民國104年4月14日,朝陽里,混種犬,公,大,黑黃,,22民棄
民國104年4月14日,朝陽里,混種犬,公,大,黑黃,,23民棄
民國104年4月14日,西衛里,米格魯,公,大,三花,,24
民國104年4月15日,烏崁里,混種犬,公,小,黑,,25收容所外
民國104年4月15日,烏崁里,混種犬,母,小,黑,,26收容所外
民國104年4月16日,白坑村,混種犬,公,中,黑,,27
民國104年4月16日,沙港村,混種犬,公,大,黃,,28
民國104年4月16日,西文里,混種犬,公,中,虎斑,,29民拾
民國104年4月16日,重光草蓆尾,混種犬,公,中,米,,30
民國104年4月16日,湖東村,混種犬,母,小,黑,,31
民國104年4月17日,沙港村,混種犬,公,大,黑黃,,32
民國104年4月17日,湖東村,混種犬,母,小,黑,,33
民國104年4月20日,講美村,混種犬,母,大,黑,158100965211491,34民棄
民國104年4月21日,湖東村,混種犬,公,小,黑黃,,35
民國104年4月21日,沙港村,混種犬,公,中,黑黃,900138000600452,36
民國104年4月22日,將軍村,混種犬,公,小,米,,37鄉公所
民國104年4月22日,將軍村,混種犬,母,小,灰,,38鄉公所
民國104年4月22日,將軍村,混種犬,母,小,黑黃,,39鄉公所
民國104年4月22日,將軍村,混種犬,公,小,黑黃,,40鄉公所
民國104年4月22日,將軍村,混種犬,母,小,黑黃,,41鄉公所
民國104年4月22日,將軍村,混種犬,母,小,黑黃,,42鄉公所
民國104年4月22日,將軍村,混種犬,公,小,黑黃,,43鄉公所
民國104年4月22日,將軍村,混種犬,母,小,黑黃,,44鄉公所
民國104年4月22日,將軍村,混種犬,公,小,黑黃,,45鄉公所
民國104年4月22日,將軍村,混種犬,公,小,黑黃,,46鄉公所
民國104年4月23日,前寮村,混種犬,公,小,米,,47
民國104年4月23日,前寮村,混種犬,母,小,米,,48
民國104年4月23日,外垵村,混種貓,公,大,虎斑,,C14
民國104年4月24日,白坑村,混種犬,母,中,黃,,49
民國104年4月28日,烏崁里,混種犬,母,大,黑虎斑,,50民棄
民國104年4月28日,烏崁里,混種犬,母,小,黑,,51民棄
民國104年4月28日,烏崁里,混種犬,母,小,黑,,52民棄
民國104年4月28日,鎖港里,混種犬,母,中,黑,,53
民國104年4月28日,鐵線里,混種犬,公,中,三花,,54
民國104年4月28日,湖東村,混種犬,公,小,黑,,55
民國104年4月28日,湖東村,混種犬,母,小,黑,,56
民國104年4月28日,五德里,混種犬,公,小,黑,,57
民國104年4月28日,五德里,混種犬,公,小,黑,,58
民國104年4月28日,五德里,混種犬,公,小,黑黃,,59
民國104年4月28日,五德里,混種犬,公,小,黑黃,,60
民國104年4月28日,五德里,混種犬,公,小,黑黃,,61
民國104年4月28日,五德里,混種犬,公,小,黑,,62
民國104年4月28日,五德里,混種犬,母,小,黑,,63
民國104年4月28日,鎖港里,混種犬,母,中,黑黃,,64
民國104年4月29日,湖東村,混種犬,母,小,黃虎斑,,65
民國104年4月29日,林投村,混種犬,母,中,黃,,66
民國104年4月30日,鎖港里,混種犬,母,大,黑黃,,67
民國104年4月30日,白坑村,混種犬,公,大,黑黃,,68
民國104年4月30日,將軍村,混種犬,公,小,黃,,69
民國104年4月30日,將軍村,混種犬,公,小,棕,,70
民國104年4月30日,鎖港里,混種犬,公,大,黑,,71
民國104年4月30日,烏崁里,混種貓,公,小,虎斑,,C15民交
民國104年5月4日,通梁村,混種犬,公,中,黑,,1
民國104年5月5日,烏崁里,混種犬,公,中,黑,,2收容所外
民國104年5月5日,烏崁里,混種犬,公,中,黑,,3收容所外
民國104年5月6日,前寮里,混種貓,公,小,黑,,C1
民國104年5月6日,前寮里,混種貓,母,小,虎珀,,C2
民國104年5月6日,前寮里,混種貓,母,小,虎珀,,C3
民國104年5月6日,林投村,混種犬,母,中,黃,,4
民國104年5月6日,鐵線里,混種犬,母,中,黑,,5
民國104年5月6日,龍門村,混種犬,公,中,黑黃,,6
民國104年5月7日,鎖港里,混種犬,公,大,黃,,7
民國104年5月7日,林投村,混種犬,公,中,黃,,8
民國104年5月8日,林投村,混種犬,公,中,黃,,9
民國104年5月8日,龍門村,混種犬,母,中,黑黃,,10
民國104年5月8日,六合路,約克夏,公,小,紅灰,900108001489443,11民拾
民國104年5月9日,林投村,混種犬,母,中,黑黃,,12
民國104年5月9日,許家村,混種犬,公,大,虎斑,,13
民國104年5月11日,馬公國中,混種貓,公,小,黑,,C4
民國104年5月11日,前寮里,混種犬,公,中,黃,900108001526569,14民棄
民國104年5月12日,前寮里,混種犬,公,中,米白,,15
民國104年5月12日,吉貝村,混種犬,公,大,黃,,16民棄
民國104年5月12日,吉貝村,混種犬,公,大,黑黃,,17民棄
民國104年5月12日,吉貝村,混種犬,公,大,黑棕,,18民棄
民國104年5月12日,吉貝村,混種犬,母,大,黃,,19民棄
民國104年5月12日,龍門村,混種犬,母,大,黑黃,,20
民國104年5月12日,將軍村,混種犬,公,小,虎斑,,21鄉
