"動物編號","收容日期","收容園區","收容原因","來源區域","性別","來源地點","毛色毛長","晶片號碼","動物種類","犬牌編號","其他特徵","照片"
"10406026013","2015-06-02","后里園區","飼主不擬續養","南屯區","母","自行送交","黑虎斑","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/a1d7edabe1c042c4ec291bf29a44dbab9da25bf3.jpg"
"10406026012","2015-06-02","后里園區","陳情","清水區","母","鎮南街","黃色","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/6beadabec47bbef674f8a22932a93e4c6d4d6dbd.jpg"
"10406026011","2015-06-02","后里園區","陳情","外埔區","公","新厝路","黑色","","混種犬","","灰紫色項圈","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/b099bf8e7e968a1df9635941563d83726e636fc1.jpg"
"10406026010","2015-06-02","后里園區","陳情","清水區","公","大街路","黑米","","混種犬","","紅色項圈","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/c24246807fbfe9b405d360a7889c4dce53bc9ce1.jpg"
"10406026009","2015-06-02","后里園區","陳情","大安區","母","中山南路","黑色","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/1994fc934910fc76db430f835f187ac2432dba3a.jpg"
"10406026008","2015-06-02","后里園區","陳情","外埔區","公","長生路","黃色","","貓","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/4c67c9b46f4b942191a98ceda8a09947e2af7104.jpg"
"10406026007","2015-06-02","后里園區","陳情","清水區","母","中山路","黑黃","","似狼犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/918b562a666f97bdb00ca13320225f47f14ba5ec.jpg"
"10406026006","2015-06-02","后里園區","陳情","豐原區","母","朴子街","黑米","","混種犬","","鐵鍊","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/a43354ac0b1a8c50456a301f2c3ab64a4359141d.jpg"
"10406026005","2015-06-02","后里園區","陳情","大雅區","公","中清路","黑色","","混種犬","","白胸","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/20d4469b827837d8e34c824ba85337f8788de1df.jpg"
"10406026004","2015-06-02","后里園區","陳情","神岡區","母","厚生路","虎斑","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/c99e12ddbdaf2b295630958125c0c1a73c03219e.jpg"
"10406026003","2015-06-02","后里園區","陳情","大雅區","母","昌平路","黑色","","混種犬","","紅黑項圈","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/509f3056174844169d3dd1fab83881361cc0fe2c.jpg"
"10406026002","2015-06-02","后里園區","陳情","大安區","母","東西五路","黑色","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/e86be5f4ad4ec35a95beff17bab0d431edc17606.jpg"
"10406026001","2015-06-02","后里園區","急難救助","清水區","公","五權東路","黃白","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/c9d0215d5bc39124403d99512c2bb4b106805f45.jpg"
"10406020019","2015-06-02","南屯園區","民眾拾獲","龍井區","","沙田路","粉紅黑","","似麝香豬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/4a8edae01427b41dded0757ac42876e54b78e421.jpg"
"10406020018","2015-06-02","南屯園區","飼主不擬續養 ","北屯區","母","松竹路3段與梅川東路五段","黑色","","混種犬","","","https://g0v.github.io/animal.coa/%E8%87%BA%E4%B8%AD%E5%B8%82/2015-06-03/e5e3efd2b1dc37512b2f620555e83cb8d1711118.jpg"
