編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1030715-10,金城鎮,清潔隊,犬,Mix,,中,黑,母,07.15-07.26,無,
1030716-01,金沙鎮,清潔隊,犬,Mix,,大,白,母,07.16-07.27,無,
1030716-02,金湖鎮,清潔隊,犬,Mix,,大,黑黃,公,07.16-07.27,無,
1030716-03,烈嶼鄉,清潔隊,犬,Mix,,中,白,母,07.16-07.27,無,
1030718-01,金城鎮,清潔隊,犬,Mix,,大,黑,母,07.18-07.29,無,
1030718-02,金城鎮,清潔隊,犬,Mix,,大,黃黑,公,07.18-07.29,無,
1030721-01,金城鎮,清潔隊,犬,Mix,,中,黃,公,07.21-08.01,無,
1030721-02,金城鎮,清潔隊,犬,Mix,,中,黃,母,07.21-08.01,無,
1030721-03,金城鎮,清潔隊,犬,Mix,,中,黑,母,07.21-08.01,無,
1030721-04,金寧鄉,清潔隊,犬,Mix,,中,白,公,07.21-08.01,無,
1030722-01,金城鎮,清潔隊,犬,Mix,,大,黑,公,07.22-08.02,無,
1030722-02,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,公,07.22-08.02,無,
1030722-03,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,母,07.22-08.02,無,
1030722-04,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,母,07.22-08.02,無,
1030722-05,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,母,07.22-08.02,無,
1030722-06,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,07.22-08.02,無,
1030722-07,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,07.22-08.02,無,
1030722-08,金沙鎮,清潔隊,犬,Mix,,大,黃,公,07.22-08.02,無,
1030724-01,金城鎮,清潔隊,犬,Mix,,幼犬,虎斑,公,07.25-08.05,無,
1030725-01,金沙鎮,清潔隊,犬,Mix,,幼犬,黃,公,07.25-08.05,無,
1030725-02,金沙鎮,清潔隊,犬,Mix,,幼犬,黑黃,公,07.25-08.05,無,
1030725-03,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,母,07.25-08.05,無,
1030728-01,金寧鄉,清潔隊,犬,Mix,,大,黑棕,公,07.28-08.08,無,
1030729-01,金湖鎮,清潔隊,犬,Mix,,大,黑灰,公,07.29-08.09,900042000371213,
1030729-02,金湖鎮,清潔隊,犬,Mix,,大,白,母,07.29-08.09,900042000371231,
1030731-01,金湖鎮,清潔隊,犬,Mix,,大,黑棕,公,07.31-08.11,無,
1030731-02,金湖鎮,清潔隊,犬,Mix,,中,黑灰,公,07.31-08.11,無,
1030731-03,金湖鎮,清潔隊,犬,Mix,,中,黑灰,公,07.31-08.11,無,
1030801-01,金湖鎮,清潔隊,犬,Mix,,大,黑,公,08.04-08.15,無,
1030801-02,金湖鎮,清潔隊,犬,Mix,,大,黃,公,08.04-08.15,無,
1030801-03,金湖鎮,清潔隊,犬,Mix,,大,黑,母,08.04-08.15,無,
1030801-04,金湖鎮,清潔隊,犬,Mix,,中,白,母,08.04-08.15,無,
1030801-05,金湖鎮,清潔隊,犬,Mix,,大,虎斑,母,08.04-08.15,無,
1030804-01,金城鎮,清潔隊,犬,Mix,,中,黑,公,08.04-08.15,無,
1030804-02,金城鎮,清潔隊,犬,Mix,,中,棕,公,08.04-08.15,無,
1030804-03,金湖鎮,清潔隊,犬,Mix,,中,白,母,08.04-08.15,無,
1030804-04,金湖鎮,清潔隊,犬,Mix,,大,黑,母,08.04-08.15,無,
1030806-01,金湖鎮,清潔隊,犬,Mix,,大,虎斑,公,08.06-08.17,無,
1030806-02,金湖鎮,清潔隊,犬,Mix,,大,白,公,08.06-08.17,無,
1030806-03,金湖鎮,民,,,,,,,,,
1030818-01,金湖鎮,清潔隊,犬,Mix,,大,棕,母,08.18-08.29,無,
1030818-02,金沙鎮,清潔隊,犬,Mix,,大,黃,公,08.18-08.29,900138000493824,
1030820-01,金湖鎮,民,,,,,,,,,
1030820-02,金寧鄉,清潔隊,犬,貴賓,,中,紅棕,公,08.22-09.02,900138000099374,103.08.21遺失領回
1030822-01,金湖鎮,清潔隊,犬,Mix,,中,白,母,08.22-09.02,無,
1030822-02,金沙鎮,清潔隊,犬,高山犬,,大,黑,母,08.22-09.02,無,
1030825-01,金城鎮,清潔隊,犬,Mix,,大,黑棕,公,08.28-09.08,無,
1030825-02,金城鎮,清潔隊,犬,Mix,,中,黑,母,08.28-09.08,無,
1030825-03,金湖鎮,民,,,,,,,,,
1030826-01,金湖鎮,清潔隊,犬,Mix,,中,黑黃,公,08.28-09.08,無,
1030826-02,金湖鎮,清潔隊,犬,Mix,,中,黃黑,母,08.28-09.08,無,
1030828-01,金湖鎮,清潔隊,犬,Mix,,大,黑,公,08.28-09.08,158100965367683,
1030828-02,金寧鄉,清潔隊,犬,Mix,,幼犬,黑棕,母,08.28-09.08,無,
1030828-03,金城鎮,清潔隊,犬,Mix,,中,黑,母,08.28-09.08,無,
1030901-01,金湖鎮,清潔隊,犬,德國狼犬,,中,黑棕,母,09.01-09.12,無,
1030901-02,金湖鎮,清潔隊,犬,Mix,,大,黑,公,09.01-09.12,無,
1030902-01,金城鎮,民,,,,,,,,,
1030904-01,金城鎮,清潔隊,犬,Mix,,幼犬,黃灰,公,09.04-09.15,無,
1030904-02,金城鎮,清潔隊,犬,Mix,,幼犬,黑,母,09.04-09.15,無,
1030904-03,金沙鎮,清潔隊,犬,Mix,,大,黃,母,09.04-09.15,無,
1030904-04,金沙鎮,清潔隊,犬,Mix,,大,黑,公,09.04-09.15,無,
1030904-05,金湖鎮,清潔隊,犬,Mix,,大,黑,公,09.04-09.15,無,
1030905-01,金湖鎮,清潔隊,犬,Mix,,中,黑,母,09.05-09.16,無,
1030905-02,金湖鎮,清潔隊,犬,Mix,,大,虎斑,公,09.05-09.16,無,
1030905-03,金沙鎮,清潔隊,犬,Mix,,中,黃,公,09.05-09.16,無,
1030910-01,金城鎮,清潔隊,犬,Mix,,大,黃,公,09.10-09.21,無,
1030910-02,金城鎮,清潔隊,犬,Mix,,中,棕,公,09.10-09.21,無,
1030910-03,金寧鄉,清潔隊,犬,Mix,,中,黑,母,09.10-09.21,無,
1030910-04,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,09.10-09.21,無,
1030911-01,金湖鎮,清潔隊,犬,Mix,,中,黑黃,公,09.11-09.22,無,
1030911-02,金城鎮,清潔隊,犬,Mix,,大,灰黃,公,09.11-09.22,無,
1030911-03,金城鎮,清潔隊,犬,Mix,,中,棕白,公,09.11-09.22,158097009993449,
1030911-04,金城鎮,清潔隊,犬,Mix,,幼犬,灰棕,公,09.11-09.22,無,
1030911-05,金城鎮,清潔隊,犬,Mix,,幼犬,白,母,09.11-09.22,無,
1030912-01,金城鎮,清潔隊,犬,長毛臘腸,,中,灰棕,公,09.12-09.23,無,
1030912-02,金寧鄉,清潔隊,犬,Mix,,中,黑黃,公,09.12-09.23,無,
1030915-01,金沙鎮,清潔隊,犬,Mix,,幼犬,黑,公,09.16-09.27,無,
1030915-02,金城鎮,清潔隊,犬,Mix,,中-成,黃,母,09.16-09.27,無,
1030915-03,金湖鎮,清潔隊,犬,Mix,,大,虎斑,公,09.16-09.27,無,
1030916-01,金城鎮,清潔隊,犬,Mix,,幼犬,棕,公,09.16-09.27,無,
1030916-02,金沙鎮,清潔隊,犬,Mix,,中-成,黑,公,09.16-09.27,無,
1030916-03,金寧鄉,清潔隊,犬,Mix,,大,棕,公,09.16-09.27,無,
1030917-01,金城鎮,清潔隊,犬,Mix,,中-成,黃黑,公,09.17-09.28,無,
1030917-02,金沙鎮,清潔隊,犬,Mix,,大,黃黑,公,09.17-09.28,無,
1030918-01,金城鎮,清潔隊,犬,Mix,,中-幼,黃,公,09.19-09.30,無,
1030922-01,金寧鄉,清潔隊,犬,Mix,,中-成,米黃黑,母,09.24-10.05,無,
1030923-01,金湖鎮,清潔隊,犬,Mix,,大,黑,公,09.24-10.05,無,
1030923-02,金城鎮,清潔隊,犬,Mix,,中-成,棕,公,09.24-10.05,158097009993449,103.09.24遺失領回
1030923-03,金湖鎮,清潔隊,犬,Mix,,大,黑黃,公,09.24-10.05,無,
1030923-04,金寧鄉,清潔隊,犬,Mix,,大,黑,公,09.24-10.05,無,
1030924-01,金沙鎮,清潔隊,犬,Mix,,中-幼,黑,公,09.24-10.05,無,
1030924-02,金城鎮,清潔隊,犬,Mix,,中-幼,黃,公,09.24-10.05,無,
1030924-03,金城鎮,清潔隊,犬,Mix,,中-幼,黃,母,09.24-10.05,無,
1030924-04,金城鎮,清潔隊,犬,Mix,,幼犬,黑黃,公,09.24-10.05,無,
1030924-05,金城鎮,清潔隊,犬,Mix,,幼犬,黃,母,09.24-10.05,無,
1030926-01,金城鎮,清潔隊,犬,Mix,,幼犬,黃,公,09.26-10.07,無,
1030926-02,金寧鄉,清潔隊,犬,Mix,,大,三花,公,09.26-10.07,900042000012957,
1031001-01,金寧鄉,清潔隊,犬,Mix,,幼犬,黑,母,10.01-10.12,無,
1031001-02,金城鎮,清潔隊,犬,Mix,,中,黃灰,母,10.01-10.12,無,
1031002-01,金城鎮,民眾,犬,Mix,,幼犬,米白,母,10.02-10.13,無,
1031002-02,金寧鄉,清潔隊,犬,Mix,,大,黃,公,10.02-10.13,無,
1031003-01,金城鎮,清潔隊,犬,Mix,,大,黃,公,10.03-10.14,無,
1031003-02,金城鎮,清潔隊,犬,Mix,,中,三花,公,10.03-10.14,900128001476224,103.10.03遺失領回
