編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040520-01,金城鎮,Mix,犬,Mix,成,大,黑棕,母,05.21-06.01,無,
1040520-02,金城鎮,Mix,犬,Mix,幼,小,黑黃,公,05.21-06.01,無,
1040520-03,金湖鎮,Mix,犬,Mix,幼,小,黑,公,05.21-06.01,無,
1040520-04,金湖鎮,Mix,犬,Mix,幼,小,虎斑,母,05.21-06.01,無,
1040520-05,金湖鎮,Mix,犬,Mix,幼,小,白,公,05.21-06.01,無,
1040520-06,金湖鎮,Mix,犬,Mix,幼,小,黑棕,公,05.21-06.01,無,
1040520-07,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.21-06.01,無,
1040520-08,金湖鎮,Mix,犬,Mix,幼,小,黑棕,母,05.21-06.01,無,
1040521-01,金湖鎮,Mix,犬,Mix,幼,小,黑黃,母,05.21-06.01,無,
1040521-02,金城鎮,Mix,犬,Mix,幼,中,黑棕,公,05.21-06.01,無,
1040521-03,金湖鎮,Mix,犬,Mix,成,大,黃灰,母,05.21-06.01,無,
1040521-04,金城鎮,Mix,犬,Mix,成,大,黑,公,05.21-06.01,無,
