編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031029-01,金城鎮,清潔隊,犬,Mix,幼犬,黑,公,10.30-11.10,無,
1031029-02,金城鎮,清潔隊,犬,Mix,幼犬,黃,母,10.30-11.10,無,
1031030-01,金沙鎮,清潔隊,犬,Mix,大,黑黃,母,10.30-11.10,無,
1031030-02,金沙鎮,清潔隊,犬,Mix,中,白,公,10.30-11.10,無,
1031030-03,金沙鎮,清潔隊,犬,Mix,中,黑,母,10.30-11.10,無,
1031030-04,金沙鎮,清潔隊,犬,Mix,幼犬,黑棕,公,10.30-11.10,無,
1031030-05,金沙鎮,清潔隊,犬,Mix,幼犬,咖啡棕,母,10.30-11.10,無,
1031030-06,金沙鎮,清潔隊,犬,Mix,幼犬,黃,公,10.30-11.10,無,
1031030-07,金沙鎮,清潔隊,犬,Mix,幼犬,黃,公,10.30-11.10,無,
1031030-08,金沙鎮,清潔隊,犬,Mix,幼犬,黃,母,10.30-11.10,無,
1031030-09,金寧鄉,清潔隊,犬,Mix,小,白,公,10.30-11.10,900138000273049,103.10.30遺失領回
