編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040522-01,金城鎮,Mix,犬,Mix,成,大,黑白,公,05.22-06.02,無,
1040522-02,金城鎮,Mix,犬,Mix,成,大,黑,母,05.22-06.02,無,
1040522-03,金城鎮,Mix,犬,Mix,幼,小,黑,公,05.22-06.02,無,
1040522-04,金城鎮,Mix,犬,Mix,幼,小,黑,公,05.22-06.02,無,
1040522-05,金城鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-06,金城鎮,Mix,犬,Mix,幼,小,米黃,母,05.22-06.02,無,
1040522-07,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-08,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-09,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-10,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-11,烈嶼鄉,Mix,犬,Mix,成,大,黑,母,05.22-06.02,無,紅色頸圈
1040522-12,烈嶼鄉,Mix,犬,Mix,幼,小,黑,公,05.22-06.02,無,
1040522-13,烈嶼鄉,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-14,烈嶼鄉,Mix,犬,Mix,幼,小,黑棕,公,05.22-06.02,無,
1040522-15,烈嶼鄉,Mix,犬,Mix,幼,小,黑棕,公,05.22-06.02,無,
1040522-16,烈嶼鄉,Mix,犬,Mix,幼,小,黑棕,公,05.22-06.02,無,
1040522-17,烈嶼鄉,Mix,犬,Mix,幼,小,黑棕,公,05.22-06.02,無,
1040522-18,烈嶼鄉,Mix,犬,Mix,幼,小,黑棕,母,05.22-06.02,無,
1040522-19,烈嶼鄉,Mix,犬,Mix,幼,小,棕灰,公,05.22-06.02,無,
1040522-20,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
1040522-21,金湖鎮,Mix,犬,Mix,幼,小,黑,母,05.22-06.02,無,
