編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040121-01,烈嶼鄉,清潔隊,犬,Mix,成,大,棕,母,01.21-02.01,無,
1040121-02,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-03,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-04,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-05,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.21-02.01,無,
1040121-06,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-07,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-08,烈嶼鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.21-02.01,無,
1040121-C1,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.21-02.01,無,
1040121-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,褐虎斑,母,01.21-02.01,無,
