編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040505-01,金湖鎮,清潔隊,犬,Mix,成,大,棕,公,05.05-05.16,無,紅帆布頸圈
1040505-02,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,公,05.05-05.16,無,
1040505-03,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,母,05.05-05.16,無,
1040505-04,金寧鄉,清潔隊,犬,Mix,成,大,黑,母,05.05-05.16,無,
1040505-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,05.05-05.16,無,
1040505-06,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,05.05-05.16,無,
1040505-07,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,05.05-05.16,無,
1040505-08,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,05.05-05.16,無,
1040505-09,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,05.05-05.16,無,
1040505-10,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,05.05-05.16,無,
1040505-11,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,05.05-05.16,無,
1040505-12,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,05.05-05.16,無,
