來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
安樂區麥金一路491號,2015-05-13,混種(幼),,母,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/20150513105448778128295.jpg
安樂區麥金一路491號,2015-05-13,混種(幼),,公,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/20150513105636953757670.jpg
安樂區麥金一路491號,2015-05-13,混種(幼),,公,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/2015051310583921656479.jpg
仁愛區南榮路97巷,2015-05-13,混種(幼),,母,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/201505131101461251513843.jpg
