來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
七堵區東新街3-15號,104年5月27日,混種(幼),,母,捕捉,,白色黑點,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527110749547446660.jpg
七堵區明德一路34號,104年5月27日,混暹羅,,母,棄養,,銀灰,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527110851218954640.jpg
信義區東信路35巷127號,104年5月27日,混種,,母,捕捉,,三花,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/201505271109361270078398.jpg
仁愛區南新街,104年5月27日,混種(幼),,母,捕捉,,黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711103199318281.jpg
信義區崇法街55巷4-1號,104年5月27日,混種,,母,捕捉,,斑紋,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527113810941589219.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,公,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114032174966729.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711422733994452.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711430120657412.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,黑黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/201505271145511329385915.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,母,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114626249860612.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,公,捕捉,,黑黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114701516987844.jpg
安樂區自強產業道路,104年5月27日,瑪爾濟斯,,母,拾獲,90012800068****,白,,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527150732783403575.jpg
中山區中和路200巷100弄13號,104年5月27日,混種(飼主亡故),,母,棄養,,虎斑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150528093618252255278.jpg
