來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
中正區立德路二信中學,2015-05-11,混種(母帶子),,母,捕捉,,米黃,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-11/20150522120005405388668.jpg
中正區立德路二信中學,2015-05-11,混種(哺乳),,公,捕捉,,棕黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-11/20150512074701565484640.jpg
