來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
安樂區麥金一路491號,104年5月13日,混種(幼),,公,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/20150513105636953757670.jpg
安樂區麥金一路491號,104年5月13日,混種(幼),,公,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/2015051310583921656479.jpg
仁愛區南榮路97巷,104年5月13日,混種(幼),,母,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-13/201505131101461251513843.jpg
七堵區大華三路1號,104年5月14日,混種,,公,捕捉,,白,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-14/201505221142491210807954.jpg
仁愛區南榮路南榮公墓,104年5月14日,混種(幼),,公,捕捉,,黑和斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-14/20150514153031633746294.jpg
仁愛區循環站,104年5月18日,混種,,公,捕捉,,黑,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-18/20150518121652706938701.jpg
中山區光華路106號,104年5月19日,混種,,母,捕捉,,黃,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-19/20150520111324628304286.jpg
信義區崇法街135巷,104年5月21日,混種,,母,捕捉,,黑,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-21/20150522115833113101493.jpg
信義區信義大街東光路205巷1號,104年5月21日,混種,,公,捕捉,,白身黑斑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-21/20150521110832890101740.jpg
仁愛區南榮路463巷33號,104年5月22日,混種(幼),,公,捕捉,,黑,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-22/20150522152945483544404.jpg
七堵區福一路66號,104年5月22日,拉布拉多,,公,捕捉,,米黃,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-22/2015052307325238895410.jpg
仁愛區南榮路463巷33號,104年5月22日,混種(幼),,公,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-22/20150522165726169948884.jpg
仁愛區南榮路463巷33號,104年5月22日,混種(幼),,公,捕捉,,虎斑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-22/20150522165951301016549.jpg
安樂區安一路177巷23號,104年5月25日,混種(幼),,公,捕捉,,黑白,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526120324633481171.jpg
安樂區安一路177巷23號,104年5月25日,混種(幼),,公,捕捉,,棕,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526120425932510868.jpg
安樂區安一路177巷23號,104年5月25日,混種(幼),,公,捕捉,,棕臉白身,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/201505261205391133089942.jpg
安樂區安一路177巷23號,104年5月25日,混種(幼),,母,捕捉,,棕黑,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526120711412147450.jpg
安樂區安一路177巷23號,104年5月25日,混種(幼),,母,捕捉,,黃黑,中,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526120820451726385.jpg
中山區復興334巷2號,104年5月25日,黑貴賓,,母,捕捉,,黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526123633519374896.jpg
七堵區東新街83號,104年5月25日,混種,,母,捕捉,,虎斑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-25/20150526124009818884921.jpg
七堵區東新街3-15號,104年5月27日,混種(幼),,母,捕捉,,白色黑點,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527110749547446660.jpg
七堵區明德一路34號,104年5月27日,混暹羅,,母,棄養,,銀灰,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527110851218954640.jpg
信義區東信路35巷127號,104年5月27日,混種,,母,捕捉,,三花,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/201505271109361270078398.jpg
仁愛區南新街,104年5月27日,混種(幼),,母,捕捉,,黃,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/2015052711103199318281.jpg
信義區崇法街55巷4-1號,104年5月27日,混種,,母,捕捉,,斑紋,大,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527113810941589219.jpg
信義區崇法街55巷4-1號,104年5月27日,混種(幼),,公,捕捉,,斑紋,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/2015-05-27/20150527114032174966729.jpg
