來源地點,入園日期,品種,備註,性別,收容原因,晶片號碼,毛色,體型,相片網址
七堵區工建西路3號,2015-05-05,混種,,母,捕捉,,三花,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/20150505163226378841207.jpg
中山區通仁街20巷24號,2015-05-05,混種,,公,捕捉,,白黑,小,https://g0v.github.io/animal.coa/%E5%9F%BA%E9%9A%86%E5%B8%82/20150505163335809822404.jpg
