編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040318-01,金城鎮,清潔隊,犬,Mix,幼,小,黑,公,03.19-03.30,無,
1040318-02,金城鎮,清潔隊,犬,Mix,幼,小,黑棕,公,03.19-03.30,無,
1040318-03,金沙鎮,清潔隊,犬,Mix,成,大,白,母,03.19-03.30,無,
1040318-04,金沙鎮,清潔隊,犬,Mix,幼,小,黑,公,03.19-03.30,無,
1040318-05,金沙鎮,清潔隊,犬,Mix,幼,小,黑,公,03.19-03.30,無,
1040318-06,金沙鎮,清潔隊,犬,Mix,幼,小,黃黑,母,03.19-03.30,無,
1040318-07,金沙鎮,清潔隊,犬,Mix,幼,小,黑,母,03.19-03.30,無,
1040318-08,烈嶼鄉,清潔隊,犬,Mix,成,大,黃,公,03.19-03.30,無,
1040318-09,烈嶼鄉,清潔隊,犬,Mix,成,大,棕灰,母,03.19-03.30,無,
1040318-10,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,03.19-03.30,無,
1040318-11,金寧鄉,清潔隊,犬,Mix,幼,小,棕灰,母,03.19-03.30,無,
1040318-12,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,母,03.19-03.30,無,
1040318-13,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,母,03.19-03.30,無,
1040318-C1,金湖鎮,清潔隊,貓,Mix,成,中,虎班白,公,03.19-03.30,無,
1040318-C2,金湖鎮,清潔隊,貓,Mix,成,中,黑,公,03.19-03.30,無,
1040318-C3,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,母,03.19-03.30,無,
1040318-C4,金湖鎮,清潔隊,貓,Mix,成,中,褐黃虎斑,母,03.19-03.30,無,
1040319-01,金寧鄉,清潔隊,犬,Mix,幼,小,黃灰,公,03.19-03.30,無,
1040319-02,金寧鄉,清潔隊,犬,Mix,幼,小,黃灰,公,03.19-03.30,無,
1040319-03,金寧鄉,清潔隊,犬,Mix,幼,小,黃灰,公,03.19-03.30,無,
1040319-04,金寧鄉,清潔隊,犬,Mix,幼,小,黃灰,公,03.19-03.30,無,
1040319-05,金寧鄉,清潔隊,犬,Mix,幼,小,黃,公,03.19-03.30,無,
1040319-06,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,03.19-03.30,無,
1040319-07,金寧鄉,清潔隊,犬,Mix,幼,小,黃黑,母,03.19-03.30,無,
1040319-08,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,03.19-03.30,無,
1040319-09,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,03.19-03.30,無,
