編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040122-C1,金沙鎮,清潔隊,貓,Mix,成,中,褐虎斑,母,01.23-02.03,無,
1040123-01,金城鎮,清潔隊,犬,Mix,幼,小,黑,公,01.23-02.03,無,
1040123-02,金城鎮,清潔隊,犬,Mix,幼,小,黑,公,01.23-02.03,無,
1040123-03,金城鎮,清潔隊,犬,Mix,幼,小,棕灰,母,01.23-02.03,無,
1040123-04,金城鎮,清潔隊,犬,Mix,幼,小,棕灰,母,01.23-02.03,無,
1040123-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,01.23-02.03,無,
1040123-06,金寧鄉,清潔隊,犬,Mix,幼,小,黑黃,母,01.23-02.03,無,
1040123-07,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,母,01.23-02.03,無,
1040123-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎班白,公,01.23-02.03,無,
1040123-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,黃虎斑,公,01.23-02.03,無,
1040123-C3,烈嶼鄉,清潔隊,貓,Mix,成,中,黃虎斑,公,01.23-02.03,無,
1040123-C4,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.23-02.03,無,
1040123-C5,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.23-02.03,無,
1040123-C6,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,公,01.23-02.03,無,
1040123-C7,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,公,01.23-02.03,無,
1040123-C8,烈嶼鄉,清潔隊,貓,Mix,幼,小,深灰虎斑,公,01.23-02.03,無,
1040123-C9,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑白,公,01.23-02.03,無,
1040123-C10,烈嶼鄉,清潔隊,貓,Mix,幼,小,褐虎斑白,公,01.23-02.03,無,
1040123-C11,烈嶼鄉,清潔隊,貓,Mix,成,中,褐黃虎斑,母,01.23-02.03,無,
1040123-C12,烈嶼鄉,清潔隊,貓,Mix,成,中,虎班白,母,01.23-02.03,無,
1040123-C13,烈嶼鄉,清潔隊,貓,Mix,成,中,黑,母,01.23-02.03,無,
1040123-C14,烈嶼鄉,清潔隊,貓,Mix,幼,小,褐黃虎斑,母,01.23-02.03,無,
1040123-C15,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.23-02.03,無,
