編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040513-01,金城鎮,民  眾,犬,博美,成,小,米黃,公,05.13-05.24,900128001821505,0513遺失領回
1040513-02,金湖鎮,清潔隊,犬,Mix,幼,小,黑棕,公,05.13-05.24,無,
1040513-03,金湖鎮,清潔隊,犬,Mix,幼,小,黑棕,公,05.13-05.24,無,
1040513-04,金湖鎮,清潔隊,犬,Mix,幼,小,黑,公,05.13-05.24,無,
1040513-05,金湖鎮,清潔隊,犬,Mix,幼,小,棕,母,05.13-05.24,無,
1040513-06,金湖鎮,清潔隊,犬,Mix,幼,小,黃,母,05.13-05.24,無,
1040513-07,金寧鄉,清潔隊,犬,Mix,成,大,黑,母,05.13-05.24,900138000493724,
1040513-08,金寧鄉,清潔隊,犬,Mix,成,大,黑棕,公,05.13-05.24,900138000493864,
1040513-09,金寧鄉,清潔隊,犬,Mix,成,大,黑棕,公,05.13-05.24,無,
1040513-10,金寧鄉,清潔隊,犬,Mix,成,大,黑白棕,公,05.13-05.24,無,
1040513-C1,金寧鄉,清潔隊,貓,Mix,成,中,褐虎斑,母,05.13-05.24,無,
1040513-C2,金寧鄉,清潔隊,貓,Mix,成,中,灰虎斑,母,05.13-05.24,無,
