編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040126-01,金寧鄉,清潔隊,犬,Mix,幼,小,黑棕,公,01.26-02.06,無,
1040126-02,金城鎮,清潔隊,犬,Mix,成,大,黑棕,母,01.26-02.06,158100965383723,
1040126-03,金城鎮,清潔隊,犬,Mix,成,大,黑棕,母,01.26-02.06,無,紅黑條紋頸圈
1040126-C1,金沙鎮,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C2,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C3,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,01.26-02.06,無,
1040126-C4,烈嶼鄉,清潔隊,貓,Mix,成,中,灰虎班白,母,01.26-02.06,無,
1040126-C5,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,01.26-02.06,無,
1040126-C6,烈嶼鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,01.26-02.06,無,
1040126-C7,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.26-02.06,無,
1040126-C8,烈嶼鄉,清潔隊,貓,Mix,幼,小,玳瑁,母,01.26-02.06,無,
1040126-C9,烈嶼鄉,清潔隊,貓,Mix,幼,小,黑花,母,01.26-02.06,無,
1040126-C10,金湖鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,01.26-02.06,無,
1040126-C11,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,01.26-02.06,無,
