收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040781,104年04月08日,"羅東  羅東夜市",本所捕獲,"1-3 歲",公,黑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7392,http://asms.wsn.com.tw/Eland/Upload/104-0781/BF7597B270B444F59B56E50B826604CE.jpg
1040786,104年04月09日,"五結  親河路",民眾棄養,"1-3 歲",母,黑白,混種狗,大,,90018200071○○○○,宜蘭縣動植物防疫所,B-16,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7397,http://asms.wsn.com.tw/Eland/Upload/104-0786/F5107BF0B8484BA3A5A69B6947739612.jpg
1040787,104年04月10日,"礁溪  杏和醫院",本所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,A-5,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7398,http://asms.wsn.com.tw/Eland/Upload/104-0787/B1833BDA8A4E4E5ABF6960ABA0EF3501.jpg
1040797,104年04月13日,"壯圍  壯圍國中",民眾送交,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,C-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7408,http://asms.wsn.com.tw/Eland/Upload/104-0797/50B2E4116AC849FF9874B8C086A4E7EF.jpg
1040801,104年04月13日,"南澳  澳花",公所捕獲,3-7歲,公,黃白,混種狗,大,,無,宜蘭縣動植物防疫所,B-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7412,http://asms.wsn.com.tw/Eland/Upload/104-0801/E33F2CBC7DA14F61B69444951730415A.jpg
1040805,104年04月13日,"南澳  澳花",公所捕獲,3月齡以下,母,虎斑,混種狗,大,,無,宜蘭縣動植物防疫所,E-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7416,http://asms.wsn.com.tw/Eland/Upload/104-0805/3EE0667834F8407E9FBF0D319B29D30E.jpg
1040819,104年04月14日,"宜蘭  武營街",公所捕獲,3-7歲,公,棕白,混種狗,大,,無,宜蘭縣動植物防疫所,D-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7430,http://asms.wsn.com.tw/Eland/Upload/104-0819/191D5AC5AC1444DC933ACCBA08BAE375.jpg
1040827,104年04月14日,"南澳  武塔",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,A-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7438,http://asms.wsn.com.tw/Eland/Upload/104-0827/27D15DD9D6C945A4A9DF2CC510356FFB.jpg
1040843,104年04月15日,"宜蘭  金六結營區",本所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7454,http://asms.wsn.com.tw/Eland/Upload/104-0843/B1A553FE115A4ACAB58E335D5BD82E9A.jpg
1040846,104年04月15日,"蘇澳  隆恩路",民眾送交,6月齡-1歲,母,三花,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7457,http://asms.wsn.com.tw/Eland/Upload/104-0846/90B842D8E10C49E181ADC9114141654C.jpg
1040852,104年04月15日,"冬山  冬山路",民眾棄養,6月齡-1歲,母,白虎斑,混種貓,大,是,90018200067○○○○,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7463,http://asms.wsn.com.tw/Eland/Upload/104-0852/33656ACE45C74801B1785BE250C8E6D5.jpg
1040853,104年04月15日,"大同  寒溪",公所捕獲,"1-3 歲",母,黑白,混種狗,大,,無,宜蘭縣動植物防疫所,A-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7464,http://asms.wsn.com.tw/Eland/Upload/104-0853/585F758EEFB44EB9AE8CDCAFCFF7F6C1.jpg
1040862,104年04月15日,"大同  寒溪",公所捕獲,"1-3 歲",公,"黃 紅項圈",混種狗,大,,無,宜蘭縣動植物防疫所,D-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7473,http://asms.wsn.com.tw/Eland/Upload/104-0862/ED3C48D5CA5B46DAA1E5724187368C25.jpg
1040863,104年04月15日,"大同  寒溪",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7474,http://asms.wsn.com.tw/Eland/Upload/104-0863/8F2D2636098C45AEA63E31AEC0CD8846.jpg
1040866,104年04月15日,"三星  上將路",本所捕獲,3月齡以下,,黑,混種貓,小,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7477,http://asms.wsn.com.tw/Eland/Upload/104-0866/D5C8F856486E4AF497C6F0F35005CAEF.jpg
1040867,104年04月15日,"冬山  梅花路",本所捕獲,6月齡-1歲,母,黃,混種狗,中,,無,宜蘭縣動植物防疫所,E-3,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7478,http://asms.wsn.com.tw/Eland/Upload/104-0867/D9F34BC0641F4013BC879CD33C30B231.jpg
