收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040541,104年03月12日,"冬山  聖保路",公所捕獲,6月齡-1歲,公,黑,混種狗,中,,無,宜蘭縣動植物防疫所,D-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7146,http://asms.wsn.com.tw/Eland/Upload/104-0541/147606CA603D416991AB77840DE29C2D.jpg
1040543,104年03月12日,"羅東  轉運站",本所捕獲,6月齡-1歲,母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-2,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7148,http://asms.wsn.com.tw/Eland/Upload/104-0543/8499F36F8E934F3CB05F0938FA60AE64.jpg
1040551,104年03月12日,"蘇澳  蘋果村",公所捕獲,"1-3 歲",母,黑白,混種狗,大,,無,宜蘭縣動植物防疫所,E-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7156,http://asms.wsn.com.tw/Eland/Upload/104-0551/99BABF46A69F44059F832FFBA015BF05.jpg
1040555,104年03月12日,"蘇澳  蘇東里",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7160,http://asms.wsn.com.tw/Eland/Upload/104-0555/F19F9141CC0D4F488A97B9A44B167C70.jpg
1040557,104年03月12日,"蘇澳  豆腐岬",公所捕獲,"1-3 歲",母,黃,混種狗,中,,無,宜蘭縣動植物防疫所,A-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7162,http://asms.wsn.com.tw/Eland/Upload/104-0557/5F98DA53B8604E6EB3CCDA84197C8FD2.jpg
1040568,104年03月13日,"壯圍  壯五路",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7173,http://asms.wsn.com.tw/Eland/Upload/104-0568/C2AC544A6C904518891BDEBAC563570D.jpg
1040570,104年03月13日,"壯圍  壯五路",公所捕獲,3月齡以下,母,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7175,http://asms.wsn.com.tw/Eland/Upload/104-0570/1A3B6A4979154CC9BFE7B7849EEA4D48.jpg
1040571,104年03月13日,"羅東  紐約市",公所捕獲,"1-3 歲",公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-10,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7176,http://asms.wsn.com.tw/Eland/Upload/104-0571/E9848341B484493E9F2E62332C25262C.jpg
1040588,104年03月17日,"員山  員山路",公所捕獲,"1-3 歲",母,黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-14,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7193,http://asms.wsn.com.tw/Eland/Upload/104-0588/0E384F561BEC438AAF936B9F7AAB1009.jpg
1040589,104年03月17日,"員山  員山路",公所捕獲,"1-3 歲",母,白,混種狗,大,,無,宜蘭縣動植物防疫所,E-16,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7194,http://asms.wsn.com.tw/Eland/Upload/104-0589/43A727AAA9E84EE8B1CD7989A80C0B61.jpg
