收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,照片連結,網頁連結
W031217-17,103年12月17日,南區  喜北里,民眾棄養,1-3 歲,公,黑,混種狗,中,,90013800037○○○○,臺南市動物之家-灣裡站,B-20,http://asms.wsn.com.tw/TN/Upload/W031217-17/1217-17.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=9&fn=Photo&tn=SheltersReco
W031225-07,103年12月25日,關廟區  北花里,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,B-24,http://asms.wsn.com.tw/TN/Upload/7.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=8&fn=Photo&tn=SheltersReco
W031022-23,103年12月25日,永康區  中正南路,民眾棄養,3-7歲,母,黑,混種狗,中,是,90012800107○○○○,臺南市動物之家-灣裡站,D-2,http://asms.wsn.com.tw/TN/Upload/1022-23.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=111&fn=Photo&tn=SheltersReco
W040106-03,104年01月06日,山上區  南洲130之,本所捕獲,3月齡以下,母,黑白,混種狗,中,否,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=254&fn=Photo&tn=SheltersReco
W040107-02,104年01月07日,安南區  鹽田里科技五路,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,C-15,http://asms.wsn.com.tw/TN/Upload/W040107-02/2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=280&fn=Photo&tn=SheltersReco
W040108-03,104年01月08日,永康區  西灣里文化路235巷7號附近,本所捕獲,3-6月齡,母,黑白,混種狗,中,,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040108-03/0F6A768277E84EF3827AC3D1DD27341C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=319&fn=Photo&tn=SheltersReco
S040112-03,104年01月12日,學甲區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C21,http://asms.wsn.com.tw/TN/Upload/S040112-03/79EA8DCA3CB644E6A8D400EF652BA27E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=423&fn=Photo&tn=SheltersReco
S040112-02,104年01月12日,西港區  慶安里,本所捕獲,1-3 歲,公,黑黃,混種狗,大,否,無,臺南市動物之家-善化站,C區-C14,http://asms.wsn.com.tw/TN/Upload/S040112-02/F8C16D4902174715A88A77371BEC7DFD.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=422&fn=Photo&tn=SheltersReco
S040112-17,104年01月12日,西港區,本所捕獲,3月齡以下,公,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P14,http://asms.wsn.com.tw/TN/Upload/S040112-17/CD4257FABEB145D6AFB37EB27C53FA41.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=424&fn=Photo&tn=SheltersReco
S040113-09,104年01月13日,六甲區,民眾送交,3月齡以下,公,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P2,http://asms.wsn.com.tw/TN/Upload/S040113-09/DSC_3690.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=445&fn=Photo&tn=SheltersReco
S040113-06,104年01月13日,麻豆區,本所捕獲,1-3 歲,母,黃,混種狗,大,,無,臺南市動物之家-善化站,C區-C8,http://asms.wsn.com.tw/TN/Upload/S040113-06/961C6BBCA66B49E7B928A63040F635E2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=442&fn=Photo&tn=SheltersReco
S040113-08,104年01月13日,六甲區,民眾送交,3月齡以下,公,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P1,http://asms.wsn.com.tw/TN/Upload/S040113-08/DSC_3686.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=444&fn=Photo&tn=SheltersReco
鴨子1,104年01月13日,北區  北成路3街,民眾送交,3月齡以下,母,白,,小,,無,臺南市動物之家-灣裡站,鳥園-鳥園,http://asms.wsn.com.tw/TN/Upload/%e9%b4%a8%e5%ad%901%20/duck.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=440&fn=Photo&tn=SheltersReco
S040113-07,104年01月13日,安南區,本所捕獲,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-善化站,A區 -A4,http://asms.wsn.com.tw/TN/Upload/S040113-07/DSC_3693.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=443&fn=Photo&tn=SheltersReco
S040113-03,104年01月13日,安定區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,,無,臺南市動物之家-善化站,D區-D10,http://asms.wsn.com.tw/TN/Upload/S040113-03/113A095ADA174AA6879D55B28BF340FF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=441&fn=Photo&tn=SheltersReco
S040114-07,104年01月14日,西港區  永樂里,本所捕獲,1-3 歲,公,黃,混種狗,大,,無,臺南市動物之家-善化站,D區-D11,http://asms.wsn.com.tw/TN/Upload/S040114-07/674FF167F72D4ABE8B643366BF57CDFA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=505&fn=Photo&tn=SheltersReco
S040114-10,104年01月14日,六甲區,民眾棄養,3月齡以下,母,黃,混種狗,中,,無,臺南市動物之家-善化站,H區-H13,http://asms.wsn.com.tw/TN/Upload/S040114-10/41DA5E9C94454844A83BB6C6A420428A.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=508&fn=Photo&tn=SheltersReco
S040114-01,104年01月14日,鹽水區  田寮里,本所捕獲,1-3 歲,公,黃花,混種狗,中,,無,臺南市動物之家-善化站,H區-H6,http://asms.wsn.com.tw/TN/Upload/S040114-01/82B7FC9F4A4E441AAE0D7494B0A26945.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=502&fn=Photo&tn=SheltersReco
S040115-08,104年01月15日,柳營區,民眾棄養,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-善化站,A區 -A10,http://asms.wsn.com.tw/TN/Upload/S040115-08/5506A883C67D49AAA2A63927D4D39299.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=576&fn=Photo&tn=SheltersReco
S040115-07,104年01月15日,新化區,民眾棄養,3月齡以下,母,黑黃,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H1,http://asms.wsn.com.tw/TN/Upload/S040115-07/C2737DE3EA1F403ABA7C24C1A64CF196.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=575&fn=Photo&tn=SheltersReco
S040115-03,104年01月15日,新市區  豐華里,本所捕獲,3月齡以下,母,黃,混種狗,中,,無,臺南市動物之家-善化站,D區-D4,http://asms.wsn.com.tw/TN/Upload/S040115-03/6578F9DC531D4EA6B4B31C2D9666AA8D.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=574&fn=Photo&tn=SheltersReco
S040115-02,104年01月15日,善化區  文正里,本所捕獲,3月齡以下,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C5,http://asms.wsn.com.tw/TN/Upload/S040115-02/6CB72F2AF3DE4F4ABF5647ADBBAC7FD6.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=573&fn=Photo&tn=SheltersReco
W040115-21,104年01月15日,南區  省躬三街,民眾送交,3月齡以下,母,黑,混種狗,中,否,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040115-21/21.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=538&fn=Photo&tn=SheltersReco
S040116-07,104年01月16日,學甲區,本所捕獲,3-7歲,母,虎斑,混種狗,大,,無,臺南市動物之家-善化站,B區-B3,http://asms.wsn.com.tw/TN/Upload/S040116-07/6563B2C1C967420FB2C24C0184B18375.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=687&fn=Photo&tn=SheltersReco
S040116-06,104年01月16日,白河區,本所捕獲,1-3 歲,母,黑黃,混種狗,大,,無,臺南市動物之家-善化站,B區-B4,http://asms.wsn.com.tw/TN/Upload/S040116-06/CD372ADB196C46C89F461C6B0639B5E1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=686&fn=Photo&tn=SheltersReco
S040117-02,104年01月17日,東區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,A區 -A13,http://asms.wsn.com.tw/TN/Upload/S040117-02/0CAC68E8C145485FB83798E884D35991.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=689&fn=Photo&tn=SheltersReco
S040119-18,104年01月19日,下營區,本所捕獲,6月齡-1歲,公,黃黑,混種狗,中,,無,臺南市動物之家-善化站,D區-D2,http://asms.wsn.com.tw/TN/Upload/S040119-18/78915C2F77B948E3B5F3B66DB6A00C47.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=691&fn=Photo&tn=SheltersReco
S040119-04,104年01月19日,西港區,本所捕獲,3月齡以下,公,黑,混種狗,中,,無,臺南市動物之家-善化站,H區-H11,http://asms.wsn.com.tw/TN/Upload/S040119-04/4688B09183C946D48FBAF610EA4FA415.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=690&fn=Photo&tn=SheltersReco
S040120-11,104年01月20日,麻豆區,本所捕獲,3月齡以下,母,虎斑,混種狗,小,,無,臺南市動物之家-善化站,H區-H4,http://asms.wsn.com.tw/TN/Upload/S040120-11/2ED28061F0644552A0BE3190E18F2E06.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=705&fn=Photo&tn=SheltersReco
鴨子2,104年01月20日,安南區  安中路,民眾送交,6月齡-1歲,母,白,,小,,無,臺南市動物之家-灣裡站,鳥園-鳥園,http://asms.wsn.com.tw/TN/Upload/%e9%b4%a8%e5%ad%902/4D84B3539F2447F29DA8A0C87F5D75E8.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=685&fn=Photo&tn=SheltersReco
S040120-02,104年01月20日,東山區,本所捕獲,1-3 歲,公,黑白,混種狗,大,,無,臺南市動物之家-善化站,D區-D16,http://asms.wsn.com.tw/TN/Upload/S040120-/1EAA83A3E05C486187A3EC42FF32AE94.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=702&fn=Photo&tn=SheltersReco
W040120-07,104年01月20日,安南區  梅花里北安路2段,本所捕獲,1-3 歲,母,黑,混種狗,中,否,無,臺南市動物之家-灣裡站,A-16,http://asms.wsn.com.tw/TN/Upload/W04010-07/A1FE85BC660C4C108AD45A2BE576A863.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=638&fn=Photo&tn=SheltersReco
S040120-12,104年01月20日,麻豆區,本所捕獲,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H2,http://asms.wsn.com.tw/TN/Upload/S040120-12/29820D09B46743DEA347B69B3E56BD31.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=706&fn=Photo&tn=SheltersReco
S040120-10,104年01月20日,麻豆區,本所捕獲,3月齡以下,公,虎斑,混種狗,小,,無,臺南市動物之家-善化站,H區-H1,http://asms.wsn.com.tw/TN/Upload/S040120-10/E919E5720C5340E5BDEC2C088CA937E7.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=704&fn=Photo&tn=SheltersReco
S040120-08,104年01月20日,白河區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,D區-D18,http://asms.wsn.com.tw/TN/Upload/S040120-08/C6686A2C1DF44E268AF155667D91F21F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=703&fn=Photo&tn=SheltersReco
S040122-04,104年01月22日,學甲區,民眾送交,3月齡以下,公,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P10,http://asms.wsn.com.tw/TN/Upload/S040122-04/EC029F1D1C06414A98371C111ED16A3F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=765&fn=Photo&tn=SheltersReco
W040122-05,104年01月22日,安南區  淵西里安中路4段,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,B-21,http://asms.wsn.com.tw/TN/Upload/W040122-05/FFE51CC8BB0D45789D03C0A4B55028ED.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=731&fn=Photo&tn=SheltersReco
S040122-03,104年01月22日,學甲區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P1,http://asms.wsn.com.tw/TN/Upload/S040122-03/E44AF50A74604873A3F1C9F333712122.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=764&fn=Photo&tn=SheltersReco
S040122-05,104年01月22日,新營區,民眾送交,3月齡以下,母,黃,混種狗,小,,無,臺南市動物之家-善化站,P區-P9,http://asms.wsn.com.tw/TN/Upload/S040122-05/6113F6DAA1C94C5DB18EDF4997226FDF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=766&fn=Photo&tn=SheltersReco
S040123-02,104年01月23日,學甲區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C12,http://asms.wsn.com.tw/TN/Upload/S040123-02/E83ABDCB809247E690BD2054C496C987.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=803&fn=Photo&tn=SheltersReco
W040124-01,104年01月24日,安南區  顯宮里三路,本所捕獲,3-7歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,B-22,http://asms.wsn.com.tw/TN/Upload/W040124-01/01.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=798&fn=Photo&tn=SheltersReco
S040124-04,104年01月24日,善化區,民眾送交,3月齡以下,母,黑褐,混種狗,小,,無,臺南市動物之家-善化站,H區-H14,http://asms.wsn.com.tw/TN/Upload/S040124-04/C0B0B0E04366438B9A21C918F9C0FB76.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=816&fn=Photo&tn=SheltersReco
S040124-02,104年01月24日,東區,本所捕獲,3月齡以下,母,白灰,混種狗,小,,無,臺南市動物之家-善化站,H區-H21,http://asms.wsn.com.tw/TN/Upload/S040124-02/C842DC6E9BD14D6A8D129AA9F9AC717B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=804&fn=Photo&tn=SheltersReco
S040126-11,104年01月26日,麻豆區,本所捕獲,3月齡以下,母,虎斑,混種狗,小,,無,臺南市動物之家-善化站,P區-P6,http://asms.wsn.com.tw/TN/Upload/S040126-11/881A0D8AE486484486006E51799D85DA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=854&fn=Photo&tn=SheltersReco
