收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,照片連結,網頁連結
S040217-06,104年02月17日,南化區,民眾棄養,1-3 歲,公,白,混種狗,中,,15809700719○○○○,臺南市動物之家-善化站,A區 -A7,http://asms.wsn.com.tw/TN/Upload/S040217-06/A270B2ACADAF4A46A2504A7130F938AC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1348&fn=Photo&tn=SheltersReco
S040224-08,104年02月24日,白河區,本所捕獲,3-7歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C13,http://asms.wsn.com.tw/TN/Upload/S040224-08/DDADA029C0E6473B949F2EADC7EADB01.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1372&fn=Photo&tn=SheltersReco
S040224-03,104年02月24日,學甲區,本所捕獲,6月齡-1歲,公,白,混種狗,中,,無,臺南市動物之家-善化站,C區-C1,http://asms.wsn.com.tw/TN/Upload/S040224-03/8FD0942189FD4F23A044FB180FA99932.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1369&fn=Photo&tn=SheltersReco
S040224-05,104年02月24日,學甲區,本所捕獲,1-3 歲,公,黃,混種狗,大,,無,臺南市動物之家-善化站,C區-C11,http://asms.wsn.com.tw/TN/Upload/S040224-05/D40936FCD5694559A762E076D2DD02CB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1371&fn=Photo&tn=SheltersReco
S040224-02,104年02月24日,學甲區,本所捕獲,6月齡-1歲,公,白,混種狗,中,,無,臺南市動物之家-善化站,C區-C1,http://asms.wsn.com.tw/TN/Upload/S040224-02/7CB53EA8EBFD45C3881C073E027E01DB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1368&fn=Photo&tn=SheltersReco
S040224-17,104年02月24日,鹽水區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H9,http://asms.wsn.com.tw/TN/Upload/S040224-17/3C27AE743F2745A8B61B6A38D1DCC14C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1373&fn=Photo&tn=SheltersReco
S040224-04,104年02月24日,學甲區,本所捕獲,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-善化站,C區-C2,http://asms.wsn.com.tw/TN/Upload/S040224-04/350301AFD5D14E5A921D2692DE0CDC35.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1370&fn=Photo&tn=SheltersReco
W04C022402,104年02月24日,安南區  安中路,本所捕獲,1-3 歲,公,黃白,混種貓,小,,無,臺南市動物之家-灣裡站,CB-2-2,http://asms.wsn.com.tw/TN/Upload/W04C022402/DEDB9DC6198743B38795CC359A73EB6E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1365&fn=Photo&tn=SheltersReco
S040225-01,104年02月25日,善化區,本所捕獲,1-3 歲,公,白,混種狗,大,,15809700685○○○○,臺南市動物之家-善化站,B區-B14,http://asms.wsn.com.tw/TN/Upload/S040225-01/15DEC0E769F14830ABF22460BA007652.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1388&fn=Photo&tn=SheltersReco
S040225-12,104年02月25日,官田區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H2,http://asms.wsn.com.tw/TN/Upload/S040225-12/D08D47E66C5346C498924FAD047AB8FA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1392&fn=Photo&tn=SheltersReco
S040225-10,104年02月25日,後壁區,民眾棄養,3月齡以下,母,米黃,混種狗,小,,無,臺南市動物之家-善化站,H區-H1,http://asms.wsn.com.tw/TN/Upload/S040225-10/93566FF38ED44DE08FBC53679A673997.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1391&fn=Photo&tn=SheltersReco
S040225-04,104年02月25日,佳里區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,,無,臺南市動物之家-善化站,B區-B13,http://asms.wsn.com.tw/TN/Upload/S040225-04/B04B9D844E1F4B7CAF4E31E7AA79F31E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1389&fn=Photo&tn=SheltersReco
S040226-08,104年02月26日,官田區,民眾送交,3月齡以下,公,黃,混種狗,小,,無,臺南市動物之家-善化站,P區-P13,http://asms.wsn.com.tw/TN/Upload/S040226-08/C50C7D97449541AF87AB285A2C85E5A3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1485&fn=Photo&tn=SheltersReco
S040226-02,104年02月26日,學甲區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B2,http://asms.wsn.com.tw/TN/Upload/S040226-02/9A2B20C62362420CBAC3F499EF279F01.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1482&fn=Photo&tn=SheltersReco
w040226-20,104年02月26日,北區  成德里,民眾棄養,3月齡以下,母,黑棕,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,D-1,http://asms.wsn.com.tw/TN/Upload/w040226-20/20.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1412&fn=Photo&tn=SheltersReco
S040226-44,104年02月26日,官田區,民眾送交,3月齡以下,公,棕,混種狗,小,,無,臺南市動物之家-善化站,H區-H11,http://asms.wsn.com.tw/TN/Upload/S040226-44/C4D7645F1D6A44CE866EEF8FA8320DB3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1489&fn=Photo&tn=SheltersReco
S040226-23,104年02月26日,學甲區,民眾送交,3月齡以下,公,花,混種狗,小,,無,臺南市動物之家-善化站,P區-P5,http://asms.wsn.com.tw/TN/Upload/S040226-23/4FAB5F8C649640A0A8C76588DD14DC22.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1487&fn=Photo&tn=SheltersReco
S040226-07,104年02月26日,官田區,民眾送交,3月齡以下,公,黃,混種狗,小,,無,臺南市動物之家-善化站,P區-P12,http://asms.wsn.com.tw/TN/Upload/S040226-07/D8AF4BC045C7410B8B76AF8817A38CB0.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1484&fn=Photo&tn=SheltersReco
S040226-13,104年02月26日,柳營區,民眾送交,3月齡以下,公,虎斑,混種狗,小,,無,臺南市動物之家-善化站,P區-P15,http://asms.wsn.com.tw/TN/Upload/S040226-13/F3A5365E8928422BAAE5332FCFD1E632.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1486&fn=Photo&tn=SheltersReco
S040226-05,104年02月26日,學甲區,本所捕獲,1-3 歲,母,花,米格魯,大,,無,臺南市動物之家-善化站,B區-B11,http://asms.wsn.com.tw/TN,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1483&fn=Photo&tn=SheltersReco
S040226-01,104年02月26日,白河區,本所捕獲,1-3 歲,母,白,混種狗,大,,無,臺南市動物之家-善化站,C區-C7,http://asms.wsn.com.tw/TN/Upload/S040226-01/D10461CE9BC24DC2A7F5D813EC787479.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1481&fn=Photo&tn=SheltersReco
S040226-24,104年02月26日,學甲區,民眾送交,3月齡以下,公,花,混種狗,小,,無,臺南市動物之家-善化站,P區-P10,http://asms.wsn.com.tw/TN/Upload/S040226-24/C2E65C36650046E68C0134FA577BE937.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1488&fn=Photo&tn=SheltersReco
W040302-37,104年03月02日,仁德區  中州里,本所捕獲,1-3 歲,公,黃,混種狗,中,,無,臺南市動物之家-灣裡站,B-11,http://asms.wsn.com.tw/TN/Upload/W040302-37/99A8E6C3BF0F44AD8C4E6731FEE4AB11.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1454&fn=Photo&tn=SheltersReco
W040302-17,104年03月02日,中西區  大福街36巷,本所捕獲,1-3 歲,母,黑參虎斑,混種狗,中,,90013800051○○○○,臺南市動物之家-灣裡站,D-10,http://asms.wsn.com.tw/TN/Upload/W040302-17/CF48956C3A9046569F83985E655E55DB.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1434&fn=Photo&tn=SheltersReco
S040302-06,104年03月02日,善化區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H5,http://asms.wsn.com.tw/TN/Upload/S040302-06/15CAFDFE770548658F4B4124732D2EB3.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1492&fn=Photo&tn=SheltersReco
S040302-08,104年03月02日,善化區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H6,http://asms.wsn.com.tw/TN/Upload/S040302-08/D15E04F7286441FDAE2843E857E11F96.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1493&fn=Photo&tn=SheltersReco
S040302-01,104年03月02日,鹽水區,本所捕獲,3-7歲,公,棕,貴賓,小,,無,臺南市動物之家-善化站,H區-H23,http://asms.wsn.com.tw/TN/Upload/S040302-01/79118ADBF5EF40A8A787BE7A4A87FE27.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1490&fn=Photo&tn=SheltersReco
S040302-04,104年03月02日,善化區,本所捕獲,1-3 歲,公,黃,混種狗,大,,無,臺南市動物之家-善化站,B區-B6,http://asms.wsn.com.tw/TN/Upload/S040302-04/C02B83FB24AB477AAF4B07DA80F25E50.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1491&fn=Photo&tn=SheltersReco
S040302-13,104年03月02日,鹽水區,民眾送交,1-3 歲,母,黃,混種狗,中,,無,臺南市動物之家-善化站,A區 -A1,http://asms.wsn.com.tw/TN/Upload/S040302-13/B218979C0205442BAEB253DAC4493320.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1494&fn=Photo&tn=SheltersReco
S040303-02,104年03月03日,安定區,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-善化站,C區-C2,http://asms.wsn.com.tw/TN/Upload/S040303-02/462E76FD7E2A4211A022054114131BEC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1536&fn=Photo&tn=SheltersReco
S040303-01,104年03月03日,六甲區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C11,http://asms.wsn.com.tw/TN/Upload/S040303-01/F2FE7C1B30584FC5935A663995320869.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1534&fn=Photo&tn=SheltersReco
S040303-05,104年03月03日,學甲區,本所捕獲,3-7歲,公,白,瑪爾濟斯,中,,無,臺南市動物之家-善化站,H區-H20,http://asms.wsn.com.tw/TN/Upload/S040303-05/591E1F4CC42C48C1B4A324803AC179AA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1538&fn=Photo&tn=SheltersReco
W04C030303,104年03月03日,永康區  中華一路,民眾送交,1-3 歲,公,白虎班,混種貓,小,,98510000834○○○○,臺南市動物之家-灣裡站,代養-代養,http://asms.wsn.com.tw/TN,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1516&fn=Photo&tn=SheltersReco
S040303-06,104年03月03日,善化區,民眾棄養,3月齡以下,母,黑,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,P區-P8,http://asms.wsn.com.tw/TN/Upload/S040303-06/B273937F2F6342218CE0048BD86BACB2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1539&fn=Photo&tn=SheltersReco
W040304-14,104年03月04日,仁德區  中洲里依仁國小,本所捕獲,6月齡-1歲,公,黃白腳,混種狗,中,,90018200064○○○○,臺南市動物之家-灣裡站,D-10,http://asms.wsn.com.tw/TN/Upload/W040304-14/C2A403BC2771400097C51789E4E140CE.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1531&fn=Photo&tn=SheltersReco
S040304-11,104年03月04日,六甲區,本所捕獲,1-3 歲,公,黃,混種狗,中,,無,臺南市動物之家-善化站,B區-B15,http://asms.wsn.com.tw/TN/Upload/S040304-11/4AFA067FBDEA45ACAE6A0A5A594F4F8C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1594&fn=Photo&tn=SheltersReco
S040304-02,104年03月04日,學甲區,本所捕獲,1-3 歲,母,黑黃,混種狗,中,,無,臺南市動物之家-善化站,C區-C14,http://asms.wsn.com.tw/TN/Upload/S040304-02/589C75234071458981B37905FCE2E770.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1593&fn=Photo&tn=SheltersReco
W040304-12,104年03月04日,仁德區  中洲里依仁國小,本所捕獲,6月齡-1歲,母,黑白,混種狗,中,是,90018200064○○○○,臺南市動物之家-灣裡站,D-10,http://asms.wsn.com.tw/TN/Upload/W040304-12/5FBC472A30EC40968D55CEC88E5FED9B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1529&fn=Photo&tn=SheltersReco
W040304-13,104年03月04日,仁德區  中洲里依仁國小,本所捕獲,6月齡-1歲,母,棕色,混種狗,中,是,無,臺南市動物之家-灣裡站,D-10,http://asms.wsn.com.tw/TN/Upload/W040304-13/FCA51C9BFFD346F2B38773E1D6C198FA.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1530&fn=Photo&tn=SheltersReco
W040304-15,104年03月04日,安南區  國安里國安街210巷,本所捕獲,3-7歲,母,棕,0,大,,無,臺南市動物之家-灣裡站,運區-2,http://asms.wsn.com.tw/TN/Upload/W040304-15/DSC09754.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1532&fn=Photo&tn=SheltersReco
S040305-03,104年03月05日,安定區,民眾棄養,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C7,http://asms.wsn.com.tw/TN/Upload/S040305-03/144708451A78473D870A3DE6134D322C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1595&fn=Photo&tn=SheltersReco
S040305-15,104年03月05日,學甲區,民眾送交,3月齡以下,公,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P15,http://asms.wsn.com.tw/TN/Upload/S040305-15/2AB89C901DDA42C7AA9496D69D3B9193.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1596&fn=Photo&tn=SheltersReco
S040307-03,104年03月07日,善化區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,H區-H7,http://asms.wsn.com.tw/TN/Upload/S040307-03/B3C9C13E92C64C5AAEBB932F6DA2E98D.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1648&fn=Photo&tn=SheltersReco
W040307-04,104年03月07日,東區  開聖里裕和五街,本所捕獲,1-3 歲,母,米黃,混種狗,中,,無,臺南市動物之家-灣裡站,C-11,http://asms.wsn.com.tw/TN/Upload/W040307-04/5610B9B928DE4EF1B16F8D2F4D7DFD30.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1625&fn=Photo&tn=SheltersReco
S040307-02,104年03月07日,善化區,民眾送交,3月齡以下,母,虎斑,混種狗,小,,無,臺南市動物之家-善化站,H區-H7,http://asms.wsn.com.tw/TN/Upload/S040307-02/CB5050CE7161494E801FBDE628BDD2C8.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1647&fn=Photo&tn=SheltersReco
S040307-04,104年03月07日,善化區,民眾送交,3月齡以下,母,黃,混種狗,小,,無,臺南市動物之家-善化站,H區-H7,http://asms.wsn.com.tw/TN/Upload/S040307-04/2D722C7338264DFBA527D40A6DF57147.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1649&fn=Photo&tn=SheltersReco
W040309-07,104年03月09日,安南區  頂安里北安路三段308號附近,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-灣裡站,A-16,http://asms.wsn.com.tw/TN/Upload/W040309-07/E94996FE0E58418683E675496B350B58.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1644&fn=Photo&tn=SheltersReco
S040309-03,104年03月09日,後壁區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C1,http://asms.wsn.com.tw/TN/Upload/S040309-03/FA137689A3244F94AB1B1240AB20DA74.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1675&fn=Photo&tn=SheltersReco
S040309-11,104年03月09日,左鎮區,民眾送交,1-3 歲,公,黑,混種狗,中,,無,臺南市動物之家-善化站,C區-C24,http://asms.wsn.com.tw/TN/Upload/S040309-11/914587AF254D4F8FA44F3E0B9EDDCF75.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1681&fn=Photo&tn=SheltersReco
S040309-10,104年03月09日,新市區,民眾送交,3-7歲,公,白,瑪爾濟斯,小,,無,臺南市動物之家-善化站,H區-H21,http://asms.wsn.com.tw/TN/Upload/S040309-10/836819BAEDE84894861A2BA4C9769FAC.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1679&fn=Photo&tn=SheltersReco
S040309-04,104年03月09日,麻豆區,本所捕獲,1-3 歲,公,虎斑,混種狗,大,,無,臺南市動物之家-善化站,B區-B6,http://asms.wsn.com.tw/TN/Upload/S040309-04/13F19FAA2DC642A1BB5912B829923C1F.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1677&fn=Photo&tn=SheltersReco
S040310-13,104年03月10日,山上區,民眾送交,1-3 歲,公,黑白,混種狗,小,,無,臺南市動物之家-善化站,H區-H13,http://asms.wsn.com.tw/TN/Upload/S040310-13/8639C971428C4518BD5C8D4BF5679389.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1699&fn=Photo&tn=SheltersReco
W040310-14,104年03月10日,新化區  東榮李中興路,本所捕獲,3-6月齡,母,虎斑,混種狗,中,,無,臺南市動物之家-灣裡站,代養-代養-H,http://asms.wsn.com.tw/TN/Upload/W040310-14/E5A09F62E95B4265AA1E820E6C2A698B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1678&fn=Photo&tn=SheltersReco
S040310-12,104年03月10日,善化區,民眾送交,3-7歲,母,棕,貴賓,中,,90010800149○○○○,臺南市動物之家-善化站,H區-H23,http://asms.wsn.com.tw/TN/Upload/S040310-12/B1790FDF8693482CB6C8FE95B5B8FD09.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1698&fn=Photo&tn=SheltersReco
S040310-01,104年03月10日,西港區,本所捕獲,3-7歲,公,白,拉不拉多,大,,無,臺南市動物之家-善化站,C區-C9,http://asms.wsn.com.tw/TN/Upload/S040310-01/83CB3877DBDD447C810427F811292EF8.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1694&fn=Photo&tn=SheltersReco
S040310-05,104年03月10日,後壁區,本所捕獲,3-7歲,公,花,西施,中,,無,臺南市動物之家-善化站,H區-H32,http://asms.wsn.com.tw/TN/Upload/S040310-05/A03E0CA9E7674ABE8BBA43B81FB87DC1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1696&fn=Photo&tn=SheltersReco
W040310-08,104年03月10日,南區  體育場,本所捕獲,1-3 歲,母,黃,混種狗,中,,無,臺南市動物之家-灣裡站,C-24,http://asms.wsn.com.tw/TN/Upload/W040310-08/613DD07650EA4261B89CE2C9FD9D0CDE.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1670&fn=Photo&tn=SheltersReco
S040310-03,104年03月10日,善化區,本所捕獲,1-3 歲,母,黑,混種狗,中,,無,臺南市動物之家-善化站,B區-B2,http://asms.wsn.com.tw/TN/Upload/S040310-03/A910EBBCBE674928AAC93D07BD0DE90E.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1695&fn=Photo&tn=SheltersReco
S040311-08,104年03月11日,麻豆區,民眾送交,3月齡以下,母,黑,混種狗,小,,無,臺南市動物之家-善化站,P區-P16,http://asms.wsn.com.tw/TN/Upload/S040311-08/9DB90CE58B3C4611985620525E4EE9E1.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1722&fn=Photo&tn=SheltersReco
S040311-07,104年03月11日,大內區,民眾棄養,1-3 歲,母,白,混種狗,中,,無,臺南市動物之家-善化站,A區 -A4,http://asms.wsn.com.tw/TN/Upload/S040311-07/0C684196A33548EF93F0544BD16EB86B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1721&fn=Photo&tn=SheltersReco
S040311-02,104年03月11日,六甲區,本所捕獲,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C2,http://asms.wsn.com.tw/TN/Upload/S040311-02/7484E36623CE4C05993941AF0FD7015C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1720&fn=Photo&tn=SheltersReco
W04C031101,104年03月11日,南區  新生里大同路二段,本所捕獲,3-7歲,公,白棕,混種貓,小,,無,臺南市動物之家-灣裡站,CB-5-2,http://asms.wsn.com.tw/TN/Upload/W04C031101/6825D23C493F43A3821691512BBB94C2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1713&fn=Photo&tn=SheltersReco
W040312-14,104年03月12日,新化區,民眾棄養,6月齡-1歲,母,虎斑,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,D-11,http://asms.wsn.com.tw/TN/Upload/W040312-14/F17F3890A83640DCA179E4EFD0B7FD21.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1736&fn=Photo&tn=SheltersReco
S040312-16,104年03月12日,新化區,民眾棄養,3-6月齡,母,黑,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H10,http://asms.wsn.com.tw/TN/Upload/S040312-16/063DA3AFADED431690FDB263E38C57EF.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1745&fn=Photo&tn=SheltersReco
S040312-12,104年03月12日,新化區,民眾棄養,3-6月齡,母,黑,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H2,http://asms.wsn.com.tw/TN/Upload/S040312-12/D0CA97B725EE4E29A18D558C26FAFFC7.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1742&fn=Photo&tn=SheltersReco
W040312-11,104年03月12日,新化區,民眾棄養,6月齡-1歲,母,虎斑,混種狗,中,,99000000003○○○○,臺南市動物之家-灣裡站,D-11,http://asms.wsn.com.tw/TN/Upload/W040312-11/56D11067E4514A4EB9B4B6B49B8C357C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1733&fn=Photo&tn=SheltersReco
S040312-15,104年03月12日,新化區,民眾棄養,3-6月齡,母,黃,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H9,http://asms.wsn.com.tw/TN/Upload/S040312-15/922C478D1F9A42C892097C927B080927.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1744&fn=Photo&tn=SheltersReco
S040312-13,104年03月12日,新化區,民眾棄養,3-6月齡,母,黑,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H1,http://asms.wsn.com.tw/TN/Upload/S040312-13/B25BC587A6684E10B3558609BE7AD271.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1743&fn=Photo&tn=SheltersReco
S040312-17,104年03月12日,新化區,民眾棄養,3-6月齡,母,黃,混種狗,小,,99000000003○○○○,臺南市動物之家-善化站,H區-H11,http://asms.wsn.com.tw/TN/Upload/S040312-17/7A2A0C11C6A2466C8E6B7AB8550EBE0B.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1746&fn=Photo&tn=SheltersReco
S040313-03,104年03月13日,六甲區,本所捕獲,1-3 歲,母,黃,混種狗,中,,無,臺南市動物之家-善化站,B區-B14,http://asms.wsn.com.tw/TN/Upload/S040313-03/B66158C5DBDE4E528FD3283BBE617AB9.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1747&fn=Photo&tn=SheltersReco
S040313-05,104年03月13日,鹽水區,本所捕獲,3-7歲,母,白,混種狗,大,,無,臺南市動物之家-善化站,C區-C14,http://asms.wsn.com.tw/TN/Upload/S040313-05/97E1CAED56074D5C88627E8C17060CD2.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1748&fn=Photo&tn=SheltersReco
W040313-15,104年03月13日,北區  中山里公園路,本所捕獲,1-3 歲,公,黑白腳,混種狗,中,,99000000002○○○○,臺南市動物之家-灣裡站,D-11,http://asms.wsn.com.tw/TN/Upload/W040313-15/161685D2A507406092C46EF5EF3CCA44.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1763&fn=Photo&tn=SheltersReco
S040316-02,104年03月16日,麻豆區,本所捕獲,1-3 歲,母,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B20,http://asms.wsn.com.tw/TN/Upload/S040316-02/385AAAFE3A474911AD392FB2B727399C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1822&fn=Photo&tn=SheltersReco
S040316-01,104年03月16日,善化區,本所捕獲,1-3 歲,母,白,混種狗,大,,無,臺南市動物之家-善化站,B區-B19,http://asms.wsn.com.tw/TN/Upload/S040316-01/7B985597C84F4BD192DBB9086886360C.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1821&fn=Photo&tn=SheltersReco
S040316-03,104年03月16日,麻豆區,本所捕獲,3-7歲,公,花,混種狗,大,,無,臺南市動物之家-善化站,B區-B17,http://asms.wsn.com.tw/TN/Upload/S040316-03/380CAA054E51485F8E99B616B4A36259.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1823&fn=Photo&tn=SheltersReco
S040316-04,104年03月16日,麻豆區,本所捕獲,3-7歲,母,白,混種狗,大,,無,臺南市動物之家-善化站,A區 -A1,http://asms.wsn.com.tw/TN/Upload/S040316-04/D9AC94DBB68A43BDB2406850DC94245D.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1824&fn=Photo&tn=SheltersReco
S040317-02,104年03月17日,東山區,本所捕獲,1-3 歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,B區-B21,http://asms.wsn.com.tw/TN/Upload/S040317-02/8D2F09527CAE427CB31F6D995CB1780D.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1835&fn=Photo&tn=SheltersReco
S040317-01,104年03月17日,麻豆區,本所捕獲,3-7歲,公,黑,混種狗,大,,無,臺南市動物之家-善化站,C區-C20,http://asms.wsn.com.tw/TN/Upload/S040317-01/2EF9432E92344135B306D5FAEABBEF09.JPG,http://asms.wsn.com.tw/TN/ieland/el_LoseDetail.aspx?ID=1834&fn=Photo&tn=SheltersReco
