編號,拾獲地點,送交單位,動物類別,品種,體型,毛色,動物性別,公告時間,晶片號碼,備註
1031203-01,金寧鄉,清潔隊,犬,Mix,幼犬,黑棕,母,12.05-12.16,無,
1031204-01,金湖鎮,清潔隊,犬,Mix,大, 黑,母,12.05-12.16,無,
1031204-02,金沙鎮,清潔隊,犬,Mix,幼犬,黑黃,公,12.05-12.16,無,
1031204-03,金沙鎮,清潔隊,犬,Mix,幼犬,黑黃,母,12.05-12.16,無,
1031205-01,金沙鎮,清潔隊,犬,Mix,中,黃,公,12.05-12.16,無,
1031205-02,金沙鎮,清潔隊,犬,Mix,幼犬,黑,公,12.05-12.16,無,
1031205-03,金沙鎮,清潔隊,犬,Mix,幼犬,黑,母,12.05-12.16,無,
1031205-04,金沙鎮,清潔隊,犬,Mix,幼犬,黑,母,12.05-12.16,無,
1031205-05,金城鎮,清潔隊,犬,Mix,大,黃黑,母,12.05-12.16,無,
1031205-06,烈嶼鄉,清潔隊,犬,Mix,幼犬,棕,公,12.05-12.16,無,
1031205-07,烈嶼鄉,清潔隊,犬,Mix,幼犬,棕,母,12.05-12.16,無,
1031205-08,金湖鎮,清潔隊,犬,Mix,中,棕,母,12.05-12.16,無,
