編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040525-01,金沙鎮,Mix,犬,Mix,成,大,黑黃,母,05.27-06.07,無,
1040526-01,金城鎮,Mix,犬,Mix,幼,中,棕灰,公,05.27-06.07,無,
1040526-C1,金湖鎮,Mix,貓,Mix,成,中,褐虎斑,公,05.27-06.07,無,
1040526-C2,金沙鎮,Mix,貓,Mix,成,中,褐虎斑,母,05.27-06.07,無,
1040526-C3,金沙鎮,Mix,貓,Mix,幼,小,褐虎斑,公,05.27-06.07,無,
1040527-01,金城鎮,Mix,犬,Mix,幼,中,黑,母,05.27-06.07,無,
1040527-02,金沙鎮,Mix,犬,Mix,幼,中,黃黑,公,05.27-06.07,無,
1040527-03,金沙鎮,Mix,犬,Mix,幼,中,黃黑,公,05.27-06.07,無,
1040527-04,金寧鄉,Mix,犬,Mix,成,大,棕,公,05.27-06.07,900004200007077,
1040527-05,金寧鄉,Mix,犬,Mix,成,大,棕,公,05.27-06.07,900004200007532,
1040527-06,金寧鄉,Mix,犬,Mix,成,大,棕,公,05.27-06.07,158100965363766,
1040527-07,金寧鄉,Mix,犬,Mix,成,大,黑,母,05.27-06.07,無,
1040527-08,金寧鄉,Mix,犬,Mix,幼,中,黑黃,母,05.27-06.07,無,
1040527-C1,金湖鎮,Mix,貓,Mix,成,中,褐虎斑,母,05.27-06.07,無,
1040527-C2,金湖鎮,Mix,貓,Mix,成,中,黃虎斑,公,05.27-06.07,無,
