編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040514-01,金寧鄉,清潔隊,犬,Mix,幼,中,米黃,公,05.15-05.26,無,
1040514-02,金寧鄉,清潔隊,犬,Mix,幼,中,棕,母,05.15-05.26,無,
1040515-01,金城鎮,清潔隊,犬,Mix,成,大,白花,母,05.15-05.26,無,
1040515-02,金湖鎮,清潔隊,犬,Mix,成,大,黑,母,05.15-05.26,無,
1040514-C1,金城鎮,清潔隊,貓,Mix,成,中,黑白,公,05.15-05.26,無,
1040514-C2,金寧鄉,清潔隊,貓,Mix,成,中,灰虎斑,母,05.15-05.26,無,
1040514-C3,金寧鄉,清潔隊,貓,Mix,成,中,褐虎斑,母,05.15-05.26,無,
1040515-C1,金寧鄉,清潔隊,貓,Mix,成,中,灰虎斑,公,05.15-05.26,無,
1040515-C2,金寧鄉,清潔隊,貓,Mix,成,中,黑,母,05.15-05.26,無,
1040515-C3,金寧鄉,清潔隊,貓,Mix,成,中,黑,母,05.15-05.26,無,
