收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
0530A1,104年05月30日,"鼓山區  農16",民眾送交,3-7歲,公,白,拉不拉多,大,否,無,壽山園區,大犬舍-待1,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23686&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0530A1/7C60FF7A8E404044A9E4CFCD7DE648AC.JPG
052903,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,黃,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23664&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052903/7D46DA8290E0463DBF9C075ADA0D0E5D.jpg
052906,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,黃,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23667&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052906/082BD0442B9F401CA76C735D56D96CC7.JPG
052909,104年05月29日,"大社區  大社路",民眾送交,3月齡以下,公,黑,混種狗,小,否,無,燕巢園區,哺乳區-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23677&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052909/6DF7481177D44C4B8A89F4B081473504.JPG
052901,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,黑,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23662&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052901/D7F3196A03964DF48EF5B6B72F8593AD.JPG
052904,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,黑,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23665&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052904/38C2AF98140C42B1982A0356E8332CF5.JPG
052907,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,黑,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23668&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052907/480E398A3CA646E8990B226505F5D288.JPG
052910,104年05月29日,"大社區  大社路",民眾送交,3月齡以下,母,黑,混種狗,小,否,無,燕巢園區,哺乳區-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23678&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052910/15870C29D1154534859DD911FA262D9B.JPG
052902,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,白,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23663&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052902/FF491DDEC40046A4816F387B273D0C0A.JPG
052905,104年05月29日,"燕巢區  中安路",本所捕獲,3-6月齡,母,白,混種狗,中,否,無,燕巢園區,運動場-運3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23666&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052905/241DAB1E0A274F01A976C144456A5D36.JPG
052908,104年05月29日,"梓官區  AH回 備註:AH",本所捕獲,3月齡以下,母,虎斑,混種貓,小,否,無,燕巢園區,其他-送動物醫院,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23672&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052908/FD82A6F121054F05A33550B01DDF542C.JPG
052911,104年05月29日,"大社區  大社路",民眾送交,3月齡以下,母,黑,混種狗,小,否,無,燕巢園區,哺乳區-哺2,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23679&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/052911/D0962354653B45F08FAB4C4E770EB939.JPG
0529A19,104年05月29日,"小港區  光和路",本所捕獲,6月齡-1歲,母,黑,混種狗,中,否,無,壽山園區,大犬舍-待19,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23681&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529A19/D12ED27D69CD4D3ABBA744FEF551DC61.JPG
0529C3,104年05月29日,"前鎮區  南寧街",民眾送交,"1-3 歲",母,黑,混種貓,大,否,無,壽山園區,貓舍-貓房3,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23661&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C3/AEDAEFD7D28F435FBDCB9C8F937C9FC7.JPG
0529C4-1,104年05月29日,"大寮區  鳳林三路",民眾送交,"1-3 歲",母,虎斑,混種貓,大,否,無,壽山園區,貓舍-貓房4,http://asms.wsn.com.tw/KS/ieland/el_LoseDetail.aspx?ID=23673&fn=Photo&tn=SheltersReco,http://asms.wsn.com.tw/KS/Upload/0529C4-1/5024F0EAB6614D8380802D35C001F515.JPG
