"編號","入所","捕捉/拾獲地點","動物別","品種","性別","毛色特徵","身份註記","備註","照片"
"150601-186","104年6月1日入所","中寮鄉龍草路","犬","混種","母","黑 肢黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b9ebe21602dfe1b4b840fcc98e6bd6ff239751b1.jpg"
"150601-062","104年6月1日入所","國姓鄉南港村南港路","犬","混種","母","灰黃色","","無項圈 哺育2幼犬","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/4ae72f06c4c47f6d0aaf2955d67c8702d1847860.jpg"
"150601-197","104年6月1日入所","草屯鎮土城里玉屏路","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/6a28664c2dd002107ae35d9237c4802f904cf070.jpg"
"150601-086","104年6月1日入所","南投市內興里大埤街","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/284bf4ae62153ceb5d40a03c1a556cdedbdfc417.jpg"
"150531-060","104年5月31日入所","埔里鎮北環路與中華路口","犬","混種","母","灰黃色","","無項圈 後肢異常","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/e19a4c1bdfe12e46a5472fa38039795ef34ae4fb.jpg"
"150530-貓","104年5月30日入所","名間鄉名松路二段","貓","混種","","黑虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/ef6f2ae2eed699cac144f22c2e7520c7b2103151.jpg"
"150530-518","104年5月30日入所","草屯鎮中山街","犬","瑪爾濟斯","母","白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/adb88e09e03d1e7f0675c09f089cd446914591f5.jpg"
"150530-238","104年5月30日入所","草屯鎮敦和國小","犬","混種","公","黑色","","綠項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/59090a97e6dd068a15aeda04d6c6e213f5245a4b.jpg"
"150529-137","104年5月29日入所","南投市鳳鳴路","犬","混種","公","黃色","","無項圈 皮膚病","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9f2991374cb2505532622659e036e34a83e90b9b.jpg"
"150529-074","104年5月29日入所","南投市文化路","犬","混種","母","灰黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/92110b0c58994bca81aa115be48e7f887f912e42.jpg"
