"編號","品種","年齡","毛色","體型","性別","絕育狀況","醫療情形","性格/特質","照片"
"470-虎斑白","混種","約102年生","虎斑白色 短毛","小型 約3.4公斤","公","已絕育","","溫和 友善","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9920b9e2af87847f2282bddb2f891624711ec62f.jpg"
"450-020","混種","約98年生","黑肢黃色 短毛","中型 約16公斤","公","已絕育","已注射預防針","友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/c17248d79ff7273eef3ca4545dd346255ed50a41.jpg"
"361-241","柴犬","約96年生","黑 肢黃色 短毛","中型 約14公斤","公","已絕育","左前肢截斷","友善 打針會生氣","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/7b1f8a17f1dee23a5c84744506a621e4738282be.jpg"
"422-182","混種","約101年生","黑白色 短毛","中型  約12公斤","公","已絕育","","活潑 友善 親人 會兇貓及其他的狗","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/2ebf2d258f1efaad0063a07e15dcd412e560647b.jpg"
"約100年生","灰黃色 短毛","中型 約13公斤","母","已絕育","已注射預防針性格/心絲蟲檢查陽性","害羞 友善 緊張時有攻擊的動作","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/d06c70f01292c1c8ec01720f7b95055cb9b4f774.jpg"
"391-195","混種","約100年生","黑白色 短毛","中型 約12.7公斤","公","已絕育","已注射預防針性格","溫和 友善 害羞","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/7de5e3cd2a448d77af78d981a29fe7a805d74d38.jpg"
"365-647","混種","約100年生","灰色 短毛","中型 約15公斤","母","已絕育","已注射預防針/心絲蟲檢查-陽性,需定期投藥","活潑 友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b61e6b29cb4cd3119942885b4682f6ac950b00b7.jpg"
"253-194","混種","約100年生","黃色 短毛","中型 約11公斤","母","已絕育","已注射預防針","溫和 友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/5b12dd935328ed30153807cf8b992317b5ad033c.jpg"
"396-113","混種","約99年生","灰白虎斑色 短毛","中型 約16.5公斤","公","已絕育","已注射預防針/心絲蟲檢查-陰性","友善 親人 穩定","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/318b3bf07649b18d5a33ea77909747d7c31bd7b9.jpg"
"253-227","混種","約98年生","黃虎斑白花色 短毛","中型 約15公斤","公","已絕育","心絲蟲檢查-陽性,需定時投藥/已注射預防針","溫和 友善 親人","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/91fe7b02db59d47e295883719e3e424102788d62.jpg"
