id,動物編號,進所日期,捕捉地點,進所原因,動物性別,動物毛色,動物品種,動物體型,是否結紮,晶片號碼,棄養原因,動物紀錄,收容籠位,處理結果,圖片
111067,(犬)104H0088,2015/8/21,竹北市中華路,認養後退回,公,黃、米、咖啡、棕色系,混(不明),中(成年),(已結紮),900108001403616,不想養,,23,****,http://animalprotection.hchg.gov.tw/sca/Animals/112401.JPG
111068,(犬)104H0089,2015/8/21,竹北市中華路,認養後退回,公,黑,混(不明),中(成年),(已結紮),900108001403611,不想養,,23,民眾領養,http://animalprotection.hchg.gov.tw/sca/Animals/112400.JPG
111049,(犬)104H0070,2015/8/20,寶山鄉大雅路,政府捕捉,母,虎斑紋,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112380.JPG
111050,(犬)104H0071,2015/8/20,寶山鄉大雅路,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112381.JPG
111051,(犬)104H0072,2015/8/20,寶山鄉大雅路,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112382.JPG
111052,(犬)104H0073,2015/8/20,寶山鄉大雅路,政府捕捉,公,虎斑紋,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112383.JPG
111053,(犬)104H0074,2015/8/20,寶山鄉大雅路,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112384.JPG
111054,(犬)104H0075,2015/8/20,寶山鄉大雅路,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112385.JPG
111055,(犬)104H0076,2015/8/20,寶山鄉大雅路,政府捕捉,公,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112386.JPG
111056,(犬)104H0077,2015/8/20,寶山鄉大雅路,政府捕捉,母,虎斑紋,混(不明),小(幼年),,無晶片,,友善、親人,G2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112387.JPG
111047,(犬)104H0068,2015/8/19,新豐鄉新豐村,政府捕捉,公,黑白、黑斑、白斑色系,混(不明),中(成年),,無晶片,,,10,****,http://animalprotection.hchg.gov.tw/sca/Animals/112378.JPG
111048,(犬)104H0069,2015/8/19,新豐鄉埔和村,政府捕捉,公,黑,混(不明),中(成年),,無晶片,,,18,****,http://animalprotection.hchg.gov.tw/sca/Animals/112379.JPG
111042,(犬)104H0063,2015/8/18,寶山鄉,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),中(成年),,無晶片,,友善、親人,8,****,http://animalprotection.hchg.gov.tw/sca/Animals/112372.JPG
111043,(犬)104H0064,2015/8/18,寶山鄉,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人,G3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112373.JPG
111044,(犬)104H0065,2015/8/18,寶山鄉,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,友善、親人,G3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112374.JPG
111045,(犬)104H0066,2015/8/18,寶山鄉,政府捕捉,母,黑白、黑斑、白斑色系,混(不明),小(幼年),,無晶片,,,B2,****,http://animalprotection.hchg.gov.tw/sca/Animals/112375.JPG
111046,(犬)104H0067,2015/8/18,新豐鄉瑞興村,民眾送交,母,黑,混(不明),小(幼年),,無晶片,,友善、親人癱瘓,F3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112376.JPG
111032,(犬)104H0053,2015/8/14,竹北市新崙里,飼主送交,公,黃、米、咖啡、棕色系,混(不明),中(幼年),,無晶片,會咬人、太兇,會咬人,7,****,http://animalprotection.hchg.gov.tw/sca/Animals/112362.JPG
111033,(犬)104H0054,2015/8/14,竹北市麻園一街,政府捕捉,母,黑,混(不明),中(成年),,無晶片,,,12,****,http://animalprotection.hchg.gov.tw/sca/Animals/112363.JPG
