編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040427-01,金寧鄉,清潔隊,犬,Mix,幼,小,黃,公,04.27-05.08,無,
1040427-02,金寧鄉,清潔隊,犬,Mix,幼,小,黃,公,04.27-05.08,無,
1040427-03,金寧鄉,清潔隊,犬,Mix,幼,小,黃,公,04.27-05.08,無,
1040427-04,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,04.27-05.08,無,
1040427-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,04.27-05.08,無,
1040427-06,金湖鎮,清潔隊,犬,Mix,幼,中,黑,公,04.27-05.08,無,
1040427-07,金湖鎮,清潔隊,犬,Mix,幼,中,黑,公,04.27-05.08,無,
1040427-08,金湖鎮,清潔隊,犬,Mix,幼,中,黑,母,04.27-05.08,無,
1040427-09,金湖鎮,清潔隊,犬,Mix,幼,中,黑,母,04.27-05.08,無,
1040427-10,金湖鎮,清潔隊,犬,Mix,幼,中,黑,母,04.27-05.08,無,
1040427-11,金湖鎮,清潔隊,犬,Mix,幼,中,黑,母,04.27-05.08,無,
1040427-12,金湖鎮,清潔隊,犬,Mix,幼,中,白,母,04.27-05.08,無,
1040427-13,金湖鎮,清潔隊,犬,Mix,幼,中,白,母,04.27-05.08,無,
1040427-14,金湖鎮,清潔隊,犬,Mix,幼,中,白,母,04.27-05.08,無,
1040427-15,金湖鎮,清潔隊,犬,Mix,幼,中,黃,母,04.27-05.08,無,
