編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040420-01,金寧鄉,清潔隊,犬,Mix,幼,小,棕,公,04.20-05.01,無,
1040420-02,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,04.20-05.01,無,
1040420-03,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,04.20-05.01,無,
1040420-04,金湖鎮,清潔隊,犬,Mix,成,大,虎斑,公,04.20-05.01,無,
1040420-05,金湖鎮,清潔隊,犬,Mix,成,大,黃,母,04.20-05.01,無,
1040420-06,金湖鎮,清潔隊,犬,Mix,幼,小,黃,公,04.20-05.01,無,
1040420-07,金湖鎮,清潔隊,犬,Mix,幼,小,棕,母,04.20-05.01,無,
1040420-08,金湖鎮,清潔隊,犬,Mix,幼,小,黑棕,母,04.20-05.01,無,
1040420-C1,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,母,04.20-05.01,無,
1040420-C2,金沙鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,04.20-05.01,無,
