編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040203-C1,金湖鎮,清潔隊,貓,Mix,幼,小,黃虎斑,公,02.04-02.15,無,
1040203-C2,金湖鎮,清潔隊,貓,Mix,幼,小,褐虎斑,母,02.04-02.15,無,
1040203-C3,金湖鎮,清潔隊,貓,Mix,幼,小,三花,母,02.04-02.15,無,
1040203-C4,金沙鎮,清潔隊,貓,Mix,成,中,黃虎斑,公,02.04-02.15,無,
1040203-C5,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,02.04-02.15,無,
1040203-C6,金湖鎮,清潔隊,貓,Mix,幼,小,褐虎斑,公,02.04-02.15,無,
1040203-C7,金湖鎮,清潔隊,貓,Mix,幼,小,黑,公,02.04-02.15,無,
1040204-01,金寧鄉,清潔隊,犬,Mix,成,大,棕,公,02.04-02.15,無,
1040204-02,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,公,02.04-02.15,無,
1040204-03,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,母,02.04-02.15,無,
1040204-04,金寧鄉,清潔隊,犬,Mix,成,大,黃虎斑,母,02.04-02.15,無,
1040204-05,金寧鄉,清潔隊,犬,Mix,成,大,灰虎斑,母,02.04-02.15,無,
1040204-06,金城鎮,清潔隊,犬,Mix,幼,中,灰,母,02.04-02.15,無,
1040204-07,金城鎮,清潔隊,犬,Mix,幼,小,虎斑,母,02.04-02.15,無,
1040204-08,金城鎮,清潔隊,犬,Mix,幼,小,虎斑,母,02.04-02.15,無,
1040204-09,烈嶼鄉,清潔隊,犬,Mix,成,大,棕,公,02.04-02.15,無,
1040204-10,烈嶼鄉,清潔隊,犬,Mix,幼,小,白,公,02.04-02.15,無,
1040204-11,烈嶼鄉,清潔隊,犬,Mix,幼,小,白,公,02.04-02.15,無,
1040204-12,烈嶼鄉,清潔隊,犬,Mix,幼,小,白花,母,02.04-02.15,無,
1040204-C1,金寧鄉,清潔隊,貓,Mix,幼,小,灰虎斑,公,02.04-02.15,無,
